"dataset","feature","mean_shap","sd_shap"
"vitro","ENSBTAG00000006984.ENSBTAG00000021818",0,NA
"vitro","ENSBTAG00000006989.ENSBTAG00000011971",0,NA
"vitro","ENSBTAG00000007148.ENSBTAG00000000898",0,NA
"vitro","ENSBTAG00000007148.ENSBTAG00000008165",0,NA
"vitro","ENSBTAG00000007148.ENSBTAG00000020199",0,NA
"vitro","ENSBTAG00000007148.ENSBTAG00000034848",0,NA
"vitro","ENSBTAG00000007153.ENSBTAG00000012219",0,NA
"vitro","ENSBTAG00000007244.ENSBTAG00000000253",0,NA
"vitro","ENSBTAG00000007244.ENSBTAG00000011741",0,NA
"vitro","ENSBTAG00000007244.ENSBTAG00000015910",0,NA
"vitro","ENSBTAG00000007244.ENSBTAG00000019929",0,NA
"vitro","ENSBTAG00000007268.ENSBTAG00000015910",0,NA
"vitro","ENSBTAG00000007273.ENSBTAG00000002144",0,NA
"vitro","ENSBTAG00000007273.ENSBTAG00000011738",0,NA
"vitro","ENSBTAG00000007273.ENSBTAG00000012314",0,NA
"vitro","ENSBTAG00000007273.ENSBTAG00000032719",0,NA
"vitro","ENSBTAG00000007273.ENSBTAG00000034385",0,NA
"vitro","ENSBTAG00000007319.ENSBTAG00000007909",0,NA
"vitro","ENSBTAG00000007319.ENSBTAG00000022799",0,NA
"vitro","ENSBTAG00000007338.ENSBTAG00000004917",0,NA
"vitro","ENSBTAG00000007338.ENSBTAG00000017593",0,NA
"vitro","ENSBTAG00000007375.ENSBTAG00000015228",0,NA
"vitro","ENSBTAG00000007446.ENSBTAG00000003060",0,NA
"vitro","ENSBTAG00000007446.ENSBTAG00000008733",0,NA
"vitro","ENSBTAG00000007446.ENSBTAG00000008849",0,NA
"vitro","ENSBTAG00000007446.ENSBTAG00000015591",0,NA
"vitro","ENSBTAG00000007446.ENSBTAG00000020979",0,NA
"vitro","ENSBTAG00000007708.ENSBTAG00000000244",0,NA
"vitro","ENSBTAG00000007708.ENSBTAG00000025324",0,NA
"vitro","ENSBTAG00000007708.ENSBTAG00000046199",0,NA
"vitro","ENSBTAG00000007725.ENSBTAG00000012687",0,NA
"vitro","ENSBTAG00000007737.ENSBTAG00000002081",0,NA
"vitro","ENSBTAG00000007737.ENSBTAG00000002144",0,NA
"vitro","ENSBTAG00000007737.ENSBTAG00000006161",0,NA
"vitro","ENSBTAG00000007737.ENSBTAG00000006240",0,NA
"vitro","ENSBTAG00000007737.ENSBTAG00000006378",0,NA
"vitro","ENSBTAG00000007737.ENSBTAG00000007909",0,NA
"vitro","ENSBTAG00000007737.ENSBTAG00000010444",0,NA
"vitro","ENSBTAG00000007737.ENSBTAG00000011628",0,NA
"vitro","ENSBTAG00000007737.ENSBTAG00000011909",0,NA
"vitro","ENSBTAG00000007737.ENSBTAG00000012314",0,NA
"vitro","ENSBTAG00000007737.ENSBTAG00000012599",0,NA
"vitro","ENSBTAG00000007737.ENSBTAG00000014064",0,NA
"vitro","ENSBTAG00000007737.ENSBTAG00000018035",0,NA
"vitro","ENSBTAG00000007737.ENSBTAG00000019832",0,NA
"vitro","ENSBTAG00000007737.ENSBTAG00000045633",0,NA
"vitro","ENSBTAG00000007740.ENSBTAG00000007909",0,NA
"vitro","ENSBTAG00000007740.ENSBTAG00000011154",0,NA
"vitro","ENSBTAG00000007740.ENSBTAG00000012119",0,NA
"vitro","ENSBTAG00000007740.ENSBTAG00000013320",0,NA
"vitro","ENSBTAG00000007740.ENSBTAG00000015127",0,NA
"vitro","ENSBTAG00000007740.ENSBTAG00000015910",0,NA
"vitro","ENSBTAG00000007740.ENSBTAG00000017266",0,NA
"vitro","ENSBTAG00000007740.ENSBTAG00000026676",0,NA
"vitro","ENSBTAG00000007773.ENSBTAG00000003418",0,NA
"vitro","ENSBTAG00000007773.ENSBTAG00000010347",0,NA
"vitro","ENSBTAG00000007773.ENSBTAG00000015910",0,NA
"vitro","ENSBTAG00000007773.ENSBTAG00000017060",0,NA
"vitro","ENSBTAG00000007773.ENSBTAG00000018993",0,NA
"vitro","ENSBTAG00000007897.ENSBTAG00000002144",0,NA
"vitro","ENSBTAG00000007897.ENSBTAG00000016948",0,NA
"vitro","ENSBTAG00000007897.ENSBTAG00000017489",0,NA
"vitro","ENSBTAG00000007897.ENSBTAG00000017981",0,NA
"vitro","ENSBTAG00000007897.ENSBTAG00000019903",0,NA
"vitro","ENSBTAG00000007897.ENSBTAG00000020704",0,NA
"vitro","ENSBTAG00000007897.ENSBTAG00000023731",0,NA
"vitro","ENSBTAG00000007897.ENSBTAG00000039292",0,NA
"vitro","ENSBTAG00000008026.ENSBTAG00000007175",0,NA
"vitro","ENSBTAG00000008026.ENSBTAG00000047138",0,NA
"vitro","ENSBTAG00000008027.ENSBTAG00000002144",0,NA
"vitro","ENSBTAG00000008027.ENSBTAG00000007175",0,NA
"vitro","ENSBTAG00000008027.ENSBTAG00000012314",0,NA
"vitro","ENSBTAG00000008027.ENSBTAG00000016948",0,NA
"vitro","ENSBTAG00000008027.ENSBTAG00000017489",0,NA
"vitro","ENSBTAG00000008027.ENSBTAG00000017981",0,NA
"vitro","ENSBTAG00000008027.ENSBTAG00000019903",0,NA
"vitro","ENSBTAG00000008027.ENSBTAG00000020704",0,NA
"vitro","ENSBTAG00000008027.ENSBTAG00000047138",0,NA
"vitro","ENSBTAG00000008096.ENSBTAG00000013674",0,NA
"vitro","ENSBTAG00000008096.ENSBTAG00000019733",0,NA
"vitro","ENSBTAG00000008121.ENSBTAG00000002606",0,NA
"vitro","ENSBTAG00000008121.ENSBTAG00000011761",0,NA
"vitro","ENSBTAG00000008121.ENSBTAG00000015127",0,NA
"vitro","ENSBTAG00000008237.ENSBTAG00000005273",0,NA
"vitro","ENSBTAG00000008237.ENSBTAG00000013205",0,NA
"vitro","ENSBTAG00000008300.ENSBTAG00000001882",0,NA
"vitro","ENSBTAG00000008300.ENSBTAG00000004356",0,NA
"vitro","ENSBTAG00000008300.ENSBTAG00000008165",0,NA
"vitro","ENSBTAG00000008300.ENSBTAG00000011578",0,NA
"vitro","ENSBTAG00000008300.ENSBTAG00000013125",0,NA
"vitro","ENSBTAG00000008300.ENSBTAG00000013745",0,NA
"vitro","ENSBTAG00000008300.ENSBTAG00000014357",0,NA
"vitro","ENSBTAG00000008300.ENSBTAG00000015910",0,NA
"vitro","ENSBTAG00000008300.ENSBTAG00000017266",0,NA
"vitro","ENSBTAG00000008300.ENSBTAG00000017489",0,NA
"vitro","ENSBTAG00000008300.ENSBTAG00000018993",0,NA
"vitro","ENSBTAG00000008300.ENSBTAG00000019289",0,NA
"vitro","ENSBTAG00000008300.ENSBTAG00000019929",0,NA
"vitro","ENSBTAG00000008300.ENSBTAG00000033669",0,NA
"vitro","ENSBTAG00000008452.ENSBTAG00000009903",0,NA
"vitro","ENSBTAG00000008452.ENSBTAG00000013909",0,NA
"vitro","ENSBTAG00000008452.ENSBTAG00000016071",0,NA
"vitro","ENSBTAG00000008611.ENSBTAG00000011761",0,NA
"vitro","ENSBTAG00000008817.ENSBTAG00000012897",0,NA
"vitro","ENSBTAG00000008817.ENSBTAG00000015910",0,NA
"vitro","ENSBTAG00000008817.ENSBTAG00000017266",0,NA
"vitro","ENSBTAG00000008817.ENSBTAG00000019929",0,NA
"vitro","ENSBTAG00000009208.ENSBTAG00000044190",0,NA
"vitro","ENSBTAG00000009212.ENSBTAG00000012314",0,NA
"vitro","ENSBTAG00000009357.ENSBTAG00000011154",0,NA
"vitro","ENSBTAG00000009357.ENSBTAG00000012119",0,NA
"vitro","ENSBTAG00000009357.ENSBTAG00000012771",0,NA
"vitro","ENSBTAG00000009393.ENSBTAG00000039292",0,NA
"vitro","ENSBTAG00000009476.ENSBTAG00000000782",0,NA
"vitro","ENSBTAG00000009476.ENSBTAG00000001462",0,NA
"vitro","ENSBTAG00000009476.ENSBTAG00000011971",0,NA
"vitro","ENSBTAG00000009476.ENSBTAG00000013745",0,NA
"vitro","ENSBTAG00000009476.ENSBTAG00000015910",0,NA
"vitro","ENSBTAG00000009476.ENSBTAG00000019289",0,NA
"vitro","ENSBTAG00000009478.ENSBTAG00000000231",0,NA
"vitro","ENSBTAG00000009478.ENSBTAG00000002081",0,NA
"vitro","ENSBTAG00000009478.ENSBTAG00000006420",0,NA
"vitro","ENSBTAG00000009478.ENSBTAG00000014354",0,NA
"vitro","ENSBTAG00000009478.ENSBTAG00000018035",0,NA
