"Seed","Gene","Accuracy"
41,"ENSBTAG00000013155-ENSBTAG00000010682",0.7188
41,"ENSBTAG00000013103-ENSBTAG00000011578",0.7188
41,"ENSBTAG00000001941-ENSBTAG00000006161",0.7188
41,"ENSBTAG00000013155-ENSBTAG00000008373",0.7188
41,"ENSBTAG00000007273-ENSBTAG00000034385",0.7188
41,"ENSBTAG00000005359-ENSBTAG00000008997",0.7188
41,"ENSBTAG00000005359-ENSBTAG00000024269",0.7188
41,"ENSBTAG00000010963-ENSBTAG00000000973",0.7188
41,"ENSBTAG00000025257-ENSBTAG00000019428",0.7188
41,"ENSBTAG00000013103-ENSBTAG00000001462",0.7188
41,"ENSBTAG00000021457-ENSBTAG00000011986",0.7188
41,"ENSBTAG00000012004-ENSBTAG00000024269",0.7188
41,"ENSBTAG00000034077-ENSBTAG00000018999",0.7188
41,"ENSBTAG00000010562-ENSBTAG00000011515",0.7188
41,"ENSBTAG00000040333-ENSBTAG00000013290",0.7188
41,"ENSBTAG00000017246-ENSBTAG00000010444",0.7188
41,"ENSBTAG00000020645-ENSBTAG00000011628",0.7188
41,"ENSBTAG00000017473-ENSBTAG00000017266",0.7188
41,"ENSBTAG00000002317-ENSBTAG00000014966",0.7188
41,"ENSBTAG00000003658-ENSBTAG00000015910",0.7188
41,"ENSBTAG00000025644-ENSBTAG00000010986",0.7188
41,"ENSBTAG00000009393-ENSBTAG00000039292",0.7188
41,"ENSBTAG00000013066-ENSBTAG00000002402",0.7188
41,"ENSBTAG00000013688-ENSBTAG00000019866",0.7188
41,"ENSBTAG00000020645-ENSBTAG00000039292",0.7188
41,"ENSBTAG00000005947-ENSBTAG00000019712",0.7188
41,"ENSBTAG00000012228-ENSBTAG00000001814",0.7188
41,"ENSBTAG00000004362-ENSBTAG00000015996",0.7188
41,"ENSBTAG00000045582-ENSBTAG00000012314",0.7188
41,"ENSBTAG00000015362-ENSBTAG00000000231",0.7188
41,"ENSBTAG00000001292-ENSBTAG00000032719",0.7188
41,"ENSBTAG00000004362-ENSBTAG00000014357",0.7188
41,"ENSBTAG00000000470-ENSBTAG00000019929",0.7188
41,"ENSBTAG00000021499-ENSBTAG00000008849",0.7188
41,"ENSBTAG00000007338-ENSBTAG00000004917",0.7188
41,"ENSBTAG00000045582-ENSBTAG00000002144",0.7188
41,"ENSBTAG00000006045-ENSBTAG00000034385",0.7188
41,"ENSBTAG00000015362-ENSBTAG00000011909",0.7188
41,"ENSBTAG00000010161-ENSBTAG00000039292",0.7188
41,"ENSBTAG00000013103-ENSBTAG00000004885",0.7188
41,"ENSBTAG00000017549-ENSBTAG00000002699",0.7188
41,"ENSBTAG00000012817-ENSBTAG00000005397",0.7188
41,"ENSBTAG00000006984-ENSBTAG00000021818",0.7188
41,"ENSBTAG00000008300-ENSBTAG00000015910",0.7188
41,"ENSBTAG00000010312-ENSBTAG00000020199",0.7188
41,"ENSBTAG00000004129-ENSBTAG00000003220",0.7188
41,"ENSBTAG00000031998-ENSBTAG00000039292",0.7188
41,"ENSBTAG00000013103-ENSBTAG00000015910",0.7188
41,"ENSBTAG00000020645-ENSBTAG00000005990",0.7188
41,"ENSBTAG00000009876-ENSBTAG00000020736",0.7188
41,"ENSBTAG00000020645-ENSBTAG00000014944",0.7188
41,"ENSBTAG00000016542-ENSBTAG00000018169",0.7188
41,"ENSBTAG00000001764-ENSBTAG00000021190",0.7188
41,"ENSBTAG00000015978-ENSBTAG00000011628",0.7188
41,"ENSBTAG00000012210-ENSBTAG00000039292",0.7188
41,"ENSBTAG00000014583-ENSBTAG00000010986",0.7188
41,"ENSBTAG00000008300-ENSBTAG00000001462",0.7188
41,"ENSBTAG00000021333-ENSBTAG00000017801",0.7188
41,"ENSBTAG00000025471-ENSBTAG00000024928",0.7188
41,"ENSBTAG00000010312-ENSBTAG00000014064",0.7188
41,"ENSBTAG00000015978-ENSBTAG00000013290",0.7188
41,"ENSBTAG00000000073-ENSBTAG00000012314",0.7188
41,"ENSBTAG00000012228-ENSBTAG00000014966",0.7188
41,"ENSBTAG00000014737-ENSBTAG00000037649",0.7188
41,"ENSBTAG00000012004-ENSBTAG00000019929",0.7188
41,"ENSBTAG00000020645-ENSBTAG00000021527",0.7188
41,"ENSBTAG00000001368-ENSBTAG00000015910",0.7188
41,"ENSBTAG00000003300-ENSBTAG00000019929",0.7188
41,"ENSBTAG00000007708-ENSBTAG00000000244",0.7188
41,"ENSBTAG00000015978-ENSBTAG00000039292",0.7188
41,"ENSBTAG00000010303-ENSBTAG00000007103",0.7188
41,"ENSBTAG00000021499-ENSBTAG00000013732",0.7188
41,"ENSBTAG00000009972-ENSBTAG00000011909",0.7188
41,"ENSBTAG00000007319-ENSBTAG00000007909",0.7188
41,"ENSBTAG00000000016-ENSBTAG00000024928",0.7188
41,"ENSBTAG00000013103-ENSBTAG00000013745",0.7188
41,"ENSBTAG00000010312-ENSBTAG00000017753",0.7188
41,"ENSBTAG00000013363-ENSBTAG00000009851",0.7188
41,"ENSBTAG00000020221-ENSBTAG00000002107",0.7188
41,"ENSBTAG00000008237-ENSBTAG00000005273",0.7188
41,"ENSBTAG00000022635-ENSBTAG00000009757",0.7188
41,"ENSBTAG00000001292-ENSBTAG00000032007",0.7188
41,"ENSBTAG00000011851-ENSBTAG00000011425",0.7188
41,"ENSBTAG00000017122-ENSBTAG00000000782",0.7188
41,"ENSBTAG00000009812-ENSBTAG00000039292",0.7188
41,"ENSBTAG00000007273-ENSBTAG00000011738",0.7188
41,"ENSBTAG00000032436-ENSBTAG00000006240",0.7188
41,"ENSBTAG00000009212-ENSBTAG00000012314",0.7188
41,"ENSBTAG00000013103-ENSBTAG00000019929",0.7188
41,"ENSBTAG00000020645-ENSBTAG00000006208",0.7188
41,"ENSBTAG00000000073-ENSBTAG00000014611",0.7188
41,"ENSBTAG00000020221-ENSBTAG00000016999",0.7188
41,"ENSBTAG00000019866-ENSBTAG00000000782",0.7188
41,"ENSBTAG00000015991-ENSBTAG00000000253",0.7188
41,"ENSBTAG00000010303-ENSBTAG00000017060",0.7188
41,"ENSBTAG00000008611-ENSBTAG00000011761",0.7188
41,"ENSBTAG00000012004-ENSBTAG00000013755",0.7188
41,"ENSBTAG00000011851-ENSBTAG00000015510",0.7188
41,"ENSBTAG00000022635-ENSBTAG00000012897",0.7188
41,"ENSBTAG00000005710-ENSBTAG00000009851",0.7188
41,"ENSBTAG00000001941-ENSBTAG00000011409",0.7188
41,"ENSBTAG00000005077-ENSBTAG00000015910",0.7188
41,"ENSBTAG00000032436-ENSBTAG00000007909",0.7188
41,"ENSBTAG00000008237-ENSBTAG00000013205",0.7188
41,"ENSBTAG00000008300-ENSBTAG00000017266",0.7188
41,"ENSBTAG00000011851-ENSBTAG00000002699",0.7188
41,"ENSBTAG00000007148-ENSBTAG00000000898",0.7188
41,"ENSBTAG00000003176-ENSBTAG00000015910",0.7188
41,"ENSBTAG00000017246-ENSBTAG00000006378",0.7188
41,"ENSBTAG00000017246-ENSBTAG00000006161",0.7188
41,"ENSBTAG00000015362-ENSBTAG00000018114",0.7188
41,"ENSBTAG00000011851-ENSBTAG00000007338",0.7188
41,"ENSBTAG00000015991-ENSBTAG00000010444",0.7188
41,"ENSBTAG00000013162-ENSBTAG00000012314",0.7188
41,"ENSBTAG00000016515-ENSBTAG00000015510",0.7188
41,"ENSBTAG00000017122-ENSBTAG00000018052",0.7188
41,"ENSBTAG00000017246-ENSBTAG00000014064",0.7188
41,"ENSBTAG00000017246-ENSBTAG00000012314",0.7188
41,"ENSBTAG00000005077-ENSBTAG00000018424",0.7188
41,"ENSBTAG00000011010-ENSBTAG00000009757",0.7188
41,"ENSBTAG00000012004-ENSBTAG00000019832",0.7188
41,"ENSBTAG00000023907-ENSBTAG00000019929",0.7188
41,"ENSBTAG00000020194-ENSBTAG00000015457",0.7188
41,"ENSBTAG00000007273-ENSBTAG00000032719",0.7188
41,"ENSBTAG00000004777-ENSBTAG00000014420",0.7188
41,"ENSBTAG00000017866-ENSBTAG00000006240",0.7188
41,"ENSBTAG00000013155-ENSBTAG00000008165",0.7188
41,"ENSBTAG00000006505-ENSBTAG00000006240",0.7188
41,"ENSBTAG00000011851-ENSBTAG00000019866",0.7188
41,"ENSBTAG00000011563-ENSBTAG00000010497",0.7188
41,"ENSBTAG00000022635-ENSBTAG00000015910",0.7188
41,"ENSBTAG00000003837-ENSBTAG00000002606",0.7188
41,"ENSBTAG00000012004-ENSBTAG00000015910",0.7188
41,"ENSBTAG00000039355-ENSBTAG00000011515",0.7188
41,"ENSBTAG00000010738-ENSBTAG00000019428",0.7188
41,"ENSBTAG00000009478-ENSBTAG00000014354",0.7188
41,"ENSBTAG00000011851-ENSBTAG00000000782",0.7188
41,"ENSBTAG00000007725-ENSBTAG00000012687",0.7188
41,"ENSBTAG00000008300-ENSBTAG00000018993",0.7188
41,"ENSBTAG00000017122-ENSBTAG00000011154",0.7188
41,"ENSBTAG00000009972-ENSBTAG00000018114",0.7188
41,"ENSBTAG00000005710-ENSBTAG00000014064",0.7188
41,"ENSBTAG00000005359-ENSBTAG00000018035",0.7188
41,"ENSBTAG00000005359-ENSBTAG00000019832",0.7188
41,"ENSBTAG00000012004-ENSBTAG00000018035",0.7188
41,"ENSBTAG00000020221-ENSBTAG00000005092",0.7188
41,"ENSBTAG00000018103-ENSBTAG00000014420",0.7188
41,"ENSBTAG00000013066-ENSBTAG00000021527",0.7188
41,"ENSBTAG00000018077-ENSBTAG00000024406",0.7188
41,"ENSBTAG00000034077-ENSBTAG00000017846",0.7188
41,"ENSBTAG00000021326-ENSBTAG00000039292",0.7188
41,"ENSBTAG00000020194-ENSBTAG00000014064",0.7188
41,"ENSBTAG00000013162-ENSBTAG00000002144",0.7188
41,"ENSBTAG00000005710-ENSBTAG00000015457",0.7188
41,"ENSBTAG00000001764-ENSBTAG00000026676",0.7188
