	x
236	ENSBTAG00000020342-ENSBTAG00000035084
237	ENSBTAG00000020645-ENSBTAG00000020199
238	ENSBTAG00000004129-ENSBTAG00000001338
239	ENSBTAG00000001941-ENSBTAG00000011409
240	ENSBTAG00000001745-ENSBTAG00000019289
241	ENSBTAG00000005691-ENSBTAG00000010543
242	ENSBTAG00000010312-ENSBTAG00000020199
243	ENSBTAG00000005077-ENSBTAG00000001060
244	ENSBTAG00000008237-ENSBTAG00000005273
245	ENSBTAG00000011851-ENSBTAG00000007338
246	ENSBTAG00000017753-ENSBTAG00000039292
247	ENSBTAG00000012817-ENSBTAG00000022799
248	ENSBTAG00000005947-ENSBTAG00000015739
249	ENSBTAG00000017753-ENSBTAG00000014420
250	ENSBTAG00000005339-ENSBTAG00000015910
251	ENSBTAG00000003835-ENSBTAG00000006420
