"feature","importance","dataset","seed"
"`ENSBTAG00000005077-ENSBTAG00000015127`",9.50607289512708,"vivo",64
"`ENSBTAG00000031998-ENSBTAG00000039292`",48.7583998003193,"vivo",64
"`ENSBTAG00000031998-ENSBTAG00000015708`",8.1742485882906,"vivo",64
"`ENSBTAG00000037778-ENSBTAG00000039292`",15.7264513260119,"vivo",64
"`ENSBTAG00000009812-ENSBTAG00000003220`",16.3968852330973,"vivo",64
"`ENSBTAG00000009812-ENSBTAG00000039292`",17.223398931097,"vivo",64
"`ENSBTAG00000019716-ENSBTAG00000003220`",18.1730309544101,"vivo",64
"`ENSBTAG00000019716-ENSBTAG00000039292`",4.83064398322006,"vivo",64
"`ENSBTAG00000003505-ENSBTAG00000011628`",0,"vivo",64
"`ENSBTAG00000003505-ENSBTAG00000006161`",22.9869270939963,"vivo",64
"`ENSBTAG00000014218-ENSBTAG00000005903`",0,"vivo",64
"`ENSBTAG00000014218-ENSBTAG00000011761`",4.9325266563207,"vivo",64
"`ENSBTAG00000005850-ENSBTAG00000022799`",10.22267780649,"vivo",64
"`ENSBTAG00000010361-ENSBTAG00000022799`",25.7070862652627,"vivo",64
"`ENSBTAG00000012829-ENSBTAG00000016933`",4.03803191845331,"vivo",64
"`ENSBTAG00000012829-ENSBTAG00000017745`",39.4506222265116,"vivo",64
"`ENSBTAG00000003806-ENSBTAG00000016455`",55.6598514375148,"vivo",64
"`ENSBTAG00000008096-ENSBTAG00000013674`",7.89086114714995,"vivo",64
"`ENSBTAG00000008096-ENSBTAG00000019733`",0,"vivo",64
"`ENSBTAG00000012109-ENSBTAG00000013674`",1.13037069207349,"vivo",64
"`ENSBTAG00000017448-ENSBTAG00000011628`",2.13514464058327,"vivo",64
"`ENSBTAG00000021457-ENSBTAG00000023147`",8.4116465942393,"vivo",64
"`ENSBTAG00000021457-ENSBTAG00000011986`",13.1510555946379,"vivo",64
"`ENSBTAG00000020244-ENSBTAG00000006359`",5.36487217526704,"vivo",64
"`ENSBTAG00000020244-ENSBTAG00000000815`",27.2778863529782,"vivo",64
"`ENSBTAG00000020244-ENSBTAG00000015510`",0.753580461382329,"vivo",64
"`ENSBTAG00000038221-ENSBTAG00000006359`",0,"vivo",64
"`ENSBTAG00000038221-ENSBTAG00000000815`",3.3389411212017,"vivo",64
"`ENSBTAG00000010673-ENSBTAG00000006359`",19.6493062899853,"vivo",64
"`ENSBTAG00000010673-ENSBTAG00000000815`",25.0400251223315,"vivo",64
"`ENSBTAG00000016515-ENSBTAG00000006359`",7.08158606100108,"vivo",64
"`ENSBTAG00000016515-ENSBTAG00000000815`",6.17240365599926,"vivo",64
"`ENSBTAG00000016515-ENSBTAG00000015510`",0,"vivo",64
"`ENSBTAG00000015801-ENSBTAG00000015510`",8.5687295565801,"vivo",64
"`ENSBTAG00000025410-ENSBTAG00000018343`",1.13037069207349,"vivo",64
"`ENSBTAG00000007268-ENSBTAG00000015910`",21.6203454386808,"vivo",64
"`ENSBTAG00000007148-ENSBTAG00000020199`",10.5861005027762,"vivo",64
"`ENSBTAG00000007148-ENSBTAG00000034848`",18.0620881360035,"vivo",64
"`ENSBTAG00000007148-ENSBTAG00000000898`",3.56033716228528,"vivo",64
"`ENSBTAG00000007148-ENSBTAG00000008165`",10.293501306258,"vivo",64
"`ENSBTAG00000010726-ENSBTAG00000025101`",1.50716092276466,"vivo",64
"`ENSBTAG00000010726-ENSBTAG00000012314`",22.8447621309382,"vivo",64
"`ENSBTAG00000047330-ENSBTAG00000017851`",26.3288083999495,"vivo",64
"`ENSBTAG00000032808-ENSBTAG00000010785`",5.29749121959839,"vivo",64
"`ENSBTAG00000032808-ENSBTAG00000004211`",7.89674029454771,"vivo",64
"`ENSBTAG00000032808-ENSBTAG00000007498`",0,"vivo",64
"`ENSBTAG00000012088-ENSBTAG00000015910`",3.48930589391575,"vivo",64
"`ENSBTAG00000002278-ENSBTAG00000013745`",64.2495972977597,"vivo",64
"`ENSBTAG00000002278-ENSBTAG00000019929`",25.4580547695807,"vivo",64
"`ENSBTAG00000002278-ENSBTAG00000015910`",19.8412663305785,"vivo",64
"`ENSBTAG00000022120-ENSBTAG00000008165`",9.56868999442521,"vivo",64
"`ENSBTAG00000022120-ENSBTAG00000013745`",8.90149692057613,"vivo",64
"`ENSBTAG00000022120-ENSBTAG00000019929`",13.7999421990639,"vivo",64
"`ENSBTAG00000022120-ENSBTAG00000015910`",1.80859310731759,"vivo",64
"`ENSBTAG00000022120-ENSBTAG00000017060`",62.2482261195724,"vivo",64
"`ENSBTAG00000022120-ENSBTAG00000006240`",29.5266075014696,"vivo",64
"`ENSBTAG00000012413-ENSBTAG00000015457`",0,"vivo",64
"`ENSBTAG00000012413-ENSBTAG00000014064`",3.96175973963933,"vivo",64
"`ENSBTAG00000012413-ENSBTAG00000010543`",0,"vivo",64
"`ENSBTAG00000020194-ENSBTAG00000011628`",0,"vivo",64
"`ENSBTAG00000020194-ENSBTAG00000015457`",7.88029853902664,"vivo",64
"`ENSBTAG00000020194-ENSBTAG00000014064`",50.3727000192725,"vivo",64
"`ENSBTAG00000020194-ENSBTAG00000010543`",7.81273011670525,"vivo",64
"`ENSBTAG00000020194-ENSBTAG00000009155`",22.4069565707959,"vivo",64
"`ENSBTAG00000005198-ENSBTAG00000011578`",4.47124407086848,"vivo",64
"`ENSBTAG00000005198-ENSBTAG00000011628`",32.4937421810167,"vivo",64
"`ENSBTAG00000005198-ENSBTAG00000015457`",13.5908236210303,"vivo",64
"`ENSBTAG00000005198-ENSBTAG00000014064`",20.0612018321377,"vivo",64
"`ENSBTAG00000005198-ENSBTAG00000010543`",16.2515457774479,"vivo",64
"`ENSBTAG00000005198-ENSBTAG00000027464`",27.4970744923249,"vivo",64
"`ENSBTAG00000005198-ENSBTAG00000019866`",14.9285155584278,"vivo",64
"`ENSBTAG00000005691-ENSBTAG00000011578`",23.2124209462283,"vivo",64
"`ENSBTAG00000005691-ENSBTAG00000015457`",14.6591230803636,"vivo",64
"`ENSBTAG00000005691-ENSBTAG00000014064`",18.0218654415439,"vivo",64
"`ENSBTAG00000005691-ENSBTAG00000010543`",23.6058554384836,"vivo",64
"`ENSBTAG00000005691-ENSBTAG00000027464`",25.5867716311312,"vivo",64
