"Sample","ENSBTAG00000012817-ENSBTAG00000007909","ENSBTAG00000012817-ENSBTAG00000022799","ENSBTAG00000015991-ENSBTAG00000021190","ENSBTAG00000012817-ENSBTAG00000005397","ENSBTAG00000016800-ENSBTAG00000000782","ENSBTAG00000014583-ENSBTAG00000010986","ENSBTAG00000014737-ENSBTAG00000000782","ENSBTAG00000025644-ENSBTAG00000010986","ENSBTAG00000005339-ENSBTAG00000011628","ENSBTAG00000038045-ENSBTAG00000018572","ENSBTAG00000007446-ENSBTAG00000015591","ENSBTAG00000019866-ENSBTAG00000000782","ENSBTAG00000009357-ENSBTAG00000012119","ENSBTAG00000005250-ENSBTAG00000008008","ENSBTAG00000021697-ENSBTAG00000019929","ENSBTAG00000015991-ENSBTAG00000010444","ENSBTAG00000002317-ENSBTAG00000012119","ENSBTAG00000015362-ENSBTAG00000002081","ENSBTAG00000032436-ENSBTAG00000010444","ENSBTAG00000008027-ENSBTAG00000017981","ENSBTAG00000015089-ENSBTAG00000023144","ENSBTAG00000023600-ENSBTAG00000005910","ENSBTAG00000008027-ENSBTAG00000007175","ENSBTAG00000005111-ENSBTAG00000002081","ENSBTAG00000012398-ENSBTAG00000014357"
"SW_PR_6.PR_Hols_5",103.460603903503,76.1357139089778,78.6119373828805,89.5929438976063,68.5229388987445,57.2654694228693,51.3441419454469,65.9595126581898,54.3362297876545,11.2724111920596,20.4201080327365,15.345319796689,13.1506912407638,15.0193557815374,18.8370392789666,85.7146886273857,52.9442142631498,44.5940883770116,88.4387472454821,41.0374115413508,84.0942811203078,32.9519890606333,41.0374115413508,56.0445670250673,19.7463954454907
"Zo_PR_2.PR_Hols_7",105.211281928558,76.2157681399396,78.0988282071843,89.6728758278291,74.3982355076505,60.3925859816192,16.1481609122359,65.0110912014471,50.3933377485482,11.0265393701078,19.4849310499348,55.3264462508558,13.598668445289,14.3689823827966,78.6188832384139,78.9170498738912,66.8630554832369,55.8489267634385,83.3515324034682,17.6205011977589,76.4241129299568,54.7655532849994,17.6205011977589,58.4992195452428,21.3295575643755
"Zo_PR_3.PR_Hols_7",114.305717438949,82.8038390722398,80.0351456003146,97.4241756057487,80.1148669061817,59.7055964323331,16.1481609122359,64.9139518587227,56.1689356669861,45.8102204844448,19.4849310499348,70.1154286643209,13.598668445289,46.9074018594774,77.1822633149149,80.873653574525,63.8046326246755,44.2140376347472,83.7228497243542,32.5348968708991,77.8168823042955,16.007821436828,32.5348968708991,54.5420420225125,21.3295575643755
"SW_PR_1.PR_Hols_7",103.342148889057,74.8617554547023,79.1200135790617,88.0797906388213,73.7400864942806,61.7639572860566,16.1481609122359,66.5666655910933,56.1366684433538,11.0265393701078,19.4849310499348,16.1481609122359,13.598668445289,14.3689823827966,19.1348332860573,79.9489339465836,58.0925214686475,12.469583424811,82.9193601689117,7.06936369174073,80.0814722979677,16.007821436828,7.06936369174073,59.1190273578318,21.3295575643755
"SW_PR_2.PR_Hols_7",113.034177591909,81.8827269596763,81.1388000658667,96.3404264799542,72.8326126180431,60.8625725551563,16.1481609122359,64.2841432433958,54.856147325811,45.4894347518533,19.4849310499348,59.8512137063551,13.598668445289,44.1032499746478,80.3576808595723,81.9888707487247,53.4725142220935,57.215995614306,85.4812774752316,7.06936369174073,75.0780897107121,16.007821436828,7.06936369174073,58.6968444232496,59.7925425868134
"SW_PR_3.PR_Hols_7",112.663075735301,81.6138982509951,80.3671119487063,96.0241317813524,70.986617732713,59.5706031524895,16.1481609122359,66.4797098558382,53.7578724272857,11.0265393701078,19.4849310499348,16.1481609122359,13.598668445289,14.3689823827966,19.1348332860573,81.2090978503723,45.714303003685,44.2850849509656,84.5701879092353,29.841492643628,79.8494482291095,16.007821436828,29.841492643628,57.7094817792256,21.3295575643755
"SW_PR_5.PR_Hols_7",106.661415976213,77.2662551059941,79.5599193547804,90.9088429979401,69.4638451503515,59.6721509183365,16.1481609122359,66.6217700450768,55.5020426038983,11.0265393701078,19.4849310499348,58.2786018542671,13.598668445289,42.1206733536923,46.8332576777924,80.3934485038329,61.0800419520474,44.7331546146777,82.6160076477722,27.0143487411539,82.3469630274648,16.007821436828,27.0143487411539,55.6584243955011,21.3295575643755
"SW_PR_6.PR_Hols_7",105.420928007124,76.3676371849936,80.3964720093887,89.8515597714746,72.1079428892047,57.9808096002224,54.030380403975,66.7834557771157,57.6203710255986,11.0265393701078,19.4849310499348,16.1481609122359,13.598668445289,14.3689823827966,19.1348332860573,81.2387655089834,54.7477545232899,44.8016688220838,83.8205768980474,33.8584239208775,80.7835822569745,30.8685487440411,33.8584239208775,56.3054481550635,21.3295575643755
"Zo_PR_2.PR_Jap_3",106.648837572878,77.8166972285418,80.6413709772496,89.9311829265669,71.7551669788499,59.8999400300154,15.5744820391563,64.4807702958399,49.9624553955761,13.15170904693,19.9381668498494,53.3609212905095,14.0595872366527,14.2991063769162,79.5554696518381,81.220402458998,69.129339042117,52.6695853781759,85.784314266715,29.2418765796115,77.249338851667,41.8593626592813,26.1641473138048,55.1690035413873,19.5235822248791
"Zo_PR_3.PR_Jap_3",115.867535014691,84.543152049776,82.6407260612322,97.7048107020956,77.2687095751117,59.2185545232579,15.5744820391563,64.3844233567384,55.688669738087,54.6393270784865,19.9381668498494,67.6245109480403,14.0595872366527,46.6792923245882,78.1017352814508,83.2341135679686,65.9672527570136,41.6970417351279,86.1664692293061,53.9928704723918,78.6571473196452,12.2353772164435,48.3100806847606,51.4370983559418,19.5235822248791
"SW_PR_1.PR_Jap_3",104.754165611108,76.4342432069901,81.6958015020156,88.3335087778608,71.1203993391461,61.2601245221928,15.5744820391563,66.023655256593,55.6566784115844,13.15170904693,19.9381668498494,15.5744820391563,14.0595872366527,14.2991063769162,19.3627864716108,82.282404140625,60.0615329854977,11.7597208556087,85.3395282175864,11.731871769718,80.9461903071852,12.2353772164435,10.4970835375042,55.7535272268915,19.5235822248791
"SW_PR_2.PR_Jap_3",114.578621467315,83.6026917732977,83.7803104984172,96.6179397840105,70.2451643409765,60.3660927391965,15.5744820391563,63.7597523366906,54.3871062404065,54.2567155917958,19.9381668498494,57.724942051142,14.0595872366527,43.888776961008,81.3149815614803,84.3818805950234,55.2849333369199,53.9588303777011,87.9762202254414,11.731871769718,75.8887813027565,12.2353772164435,10.4970835375042,55.3553781234652,54.7299032389664
"SW_PR_3.PR_Jap_3",114.202449055926,83.3282162580556,82.9834997246424,96.3007339830805,68.4647501908943,59.0846624364122,15.5744820391563,65.9374088532906,53.2982220132205,13.15170904693,19.9381668498494,15.5744820391563,14.0595872366527,14.2991063769162,19.3627864716108,83.5793484586599,47.2637621564886,41.7640445032081,87.0385386807731,49.5230660605352,80.71166084744,12.2353772164435,44.3107265127629,54.4242235947681,19.5235822248791
"SW_PR_5.PR_Jap_3",108.118785544923,78.8892499059603,82.1500286097598,91.1707103604802,66.9960755620863,59.185381837404,15.5744820391563,66.0783102019865,55.0274788663015,13.15170904693,19.9381668498494,56.2081987403697,14.0595872366527,41.915841561117,47.3911820724241,82.7398927479203,63.150313701539,42.186606668247,85.0273217439122,44.8313156874265,83.2361437566761,12.2353772164435,40.1127863570615,52.4899278392706,19.5235822248791
"SW_PR_6.PR_Jap_3",106.861348153216,77.9717563165203,83.0138156154151,90.1103815780397,69.5462391978933,57.5078374521354,52.1108994234054,66.2386770002519,57.1276947680639,13.15170904693,19.9381668498494,15.5744820391563,14.0595872366527,14.2991063769162,19.3627864716108,83.6098820274673,56.603397150822,42.2512205311396,86.2670487668233,56.1893127989114,81.6558816343734,23.5939874453243,50.2753458222724,53.1001181351437,19.5235822248791
"Zo_PR_2.PR_Jap_4",102.332354675203,81.2677137717882,73.9485695829922,93.6588086264981,71.0946470406168,63.1312906037876,15.4311159744163,67.9592374527072,51.6621481037752,12.3869300096843,20.4965275080503,52.8697238768757,13.2745689505795,15.4851663397163,76.8109826899101,80.5149690507131,65.2694963355872,54.2068455888293,85.0392413618978,30.5592892541086,77.0777181968539,40.5468610027585,30.7285442354584,56.7792139388422,20.6074957069146
"Zo_PR_3.PR_Jap_4",111.177936471764,88.2924735544537,75.7819889154923,101.754651386138,76.557436430267,62.4131472063357,15.4311159744163,67.8576930002728,57.5831648171162,51.4620204782776,20.4965275080503,67.0020144829759,13.2745689505795,50.5511734239143,75.4073989256734,82.5111902304555,62.2839654154575,42.9140477681378,85.4180771476615,56.4253713995863,78.4823990133244,11.8517365720439,56.7378876726081,52.9383861311599,20.6074957069146
"SW_PR_1.PR_Jap_4",100.514367272833,79.8239506498947,74.9154880280307,91.9949112721916,70.4657225575779,64.5648513453741,15.4311159744163,69.5853545869934,57.5500851649108,12.3869300096843,20.4965275080503,15.4311159744163,13.2745689505795,15.4851663397163,18.6948133548598,81.5677468003822,56.7079920251851,12.1029502702683,84.5983184669657,12.2604191262094,80.7663565585518,11.8517365720439,12.3283244034981,57.3807980397162,20.6074957069146
"SW_PR_2.PR_Jap_4",109.941190143558,87.3103057256379,76.8269939548119,100.622729932355,69.5985442637721,63.6225902968141,15.4311159744163,67.199323598256,56.2373229114042,51.1016580577262,20.4965275080503,57.193572997686,13.2745689505795,47.5291947463983,78.5097953476151,83.6489884173999,52.1980942367877,55.5337196113538,87.2121096940638,12.2604191262094,75.7201833246539,11.8517365720439,12.3283244034981,56.9710282111559,57.7684071010097
"SW_PR_3.PR_Jap_4",109.580242856205,87.0236577644099,76.0963142027826,100.292376027984,67.8345191640392,62.2720322028821,15.4311159744163,69.4944555519078,55.1113954971616,12.3869300096843,20.4965275080503,15.4311159744163,13.2745689505795,15.4851663397163,18.6948133548598,82.8534266106958,44.624785852495,42.9830061371333,86.2825723085957,51.7541921898889,80.532348140152,11.8517365720439,52.0408367764508,56.0126961985911,20.6074957069146
"SW_PR_5.PR_Jap_4",103.742808278382,82.3878320381496,75.3320167213856,94.94971417163,66.3793639640885,62.3781849931899,15.4311159744163,69.6429579374949,56.8994806292076,12.3869300096843,20.4965275080503,55.6907915971165,13.2745689505795,45.392611379612,45.7562915755503,82.0212619264127,59.6243103991285,43.4179015681012,84.2888236380278,46.8510678514233,83.0512225430062,11.8517365720439,47.1105561055338,54.0219444091374,20.6074957069146
"SW_PR_6.PR_Jap_4",102.536264146458,81.4296494234972,76.1241140371741,93.8454350185708,68.9060528593558,60.610144123131,51.6312086984356,69.8119758520274,59.0711446138475,12.3869300096843,20.4965275080503,15.4311159744163,13.2745689505795,15.4851663397163,18.6948133548598,82.8836949825963,53.4429415080405,43.4844013072499,85.5177831095277,58.7207684204764,81.4744712031159,22.8541972134943,59.0459979270008,54.6499442483369,20.6074957069146
"Zo_PR_2.PR_Jap_6",100.733185169392,77.9208651742262,72.2604156031241,96.6246909557996,71.1538458511145,63.6702908710312,15.4439650952484,68.5394576065858,51.6819763188021,13.0443765238351,19.3220614299581,52.913747230182,12.2769889135373,14.8027728255367,76.5057020400752,87.3012862354539,60.3645124664618,56.0879343045212,92.2068931890763,28.6672282066529,81.8685065205507,38.6500192587447,22.6871283118621,58.7495691119943,18.9247530898562
"Zo_PR_3.PR_Jap_6",109.440535174892,84.6563242452605,74.0519802498556,104.976903803141,76.6211839747036,62.9460161323784,15.4439650952484,68.437046191248,57.6052655507447,54.1934096076383,19.3220614299581,67.0578054563254,12.2769889135373,48.3235064992026,75.1076967354368,89.4657617194126,57.6033433359301,44.4032532388568,92.6176596808123,52.9318265587478,83.3604956877548,11.2972949182897,41.8900331857284,54.7754567021651,18.9247530898562
"SW_PR_1.PR_Jap_6",98.9436078434338,76.5365605550449,73.2052605012311,94.9081031622992,70.5243976777158,65.1160910206107,15.4439650952484,70.179458150534,57.5721732023879,13.0443765238351,19.3220614299581,15.4439650952484,12.2769889135373,14.8027728255367,18.620511938973,88.4427988355306,52.446402741519,12.5229474667972,91.7288064890244,11.5013222355294,85.7864132883064,11.2972949182897,9.10209984141311,59.372029414968,18.9247530898562
"SW_PR_2.PR_Jap_6",108.223115745014,83.7146050382636,75.0731291223006,103.809137927598,69.6564973053061,64.1657851665014,15.4439650952484,67.7730557844926,56.2589071035477,53.8139206547632,19.3220614299581,57.2411967166369,12.2769889135373,45.4346990517713,78.1977628686286,90.699460823663,48.2754224742521,57.4608535769362,94.562904778659,11.5013222355294,80.4265936676983,11.2972949182897,9.10209984141311,58.9480397329525,53.0512225420033
"SW_PR_3.PR_Jap_6",107.867809057811,83.4397621012266,74.3591298813123,103.468322745513,67.8910033441056,62.8036963218656,15.4439650952484,70.0877830406409,55.1325475522049,13.0443765238351,19.3220614299581,15.4439650952484,12.2769889135373,14.8027728255367,18.620511938973,89.8368439733563,41.2712460359128,44.4746046046844,93.5550200298717,48.549860758265,85.5378600075944,11.2972949182897,38.4221631964466,57.956451634092,18.9247530898562
"SW_PR_5.PR_Jap_6",102.121597313652,78.9948536053199,73.6122803619557,97.9564754529623,66.434636471258,62.9107554199932,15.4439650952484,70.2375533050367,56.9213189611051,13.0443765238351,19.3220614299581,55.7371639859736,12.2769889135373,43.3922697030958,45.5744359354185,88.9345391205546,55.1435606287953,44.9245917990414,91.3932254539938,43.9503105799999,88.2132957923934,11.2972949182897,34.7820978117182,55.896616674677,18.9247530898562
"SW_PR_6.PR_Jap_6",100.933908103901,78.0761318293108,74.3862950800195,96.8172272235855,68.9634292798764,61.1276194284446,51.6742007698043,70.4080142551895,59.0938164422611,13.0443765238351,19.3220614299581,15.4439650952484,12.2769889135373,14.8027728255367,18.620511938973,89.8696635574699,49.4267198312598,44.9933992155241,92.7257694996309,55.0851053760515,86.5385410076006,21.7850442820866,43.594129321819,56.5464093962724,18.9247530898562
