"Seed","Gene","Accuracy"
28,"ENSBTAG00000020645-ENSBTAG00000006208",0.7812
28,"ENSBTAG00000011104-ENSBTAG00000018300",0.7812
28,"ENSBTAG00000014737-ENSBTAG00000001462",0.7812
28,"ENSBTAG00000006538-ENSBTAG00000017489",0.7812
28,"ENSBTAG00000025644-ENSBTAG00000010785",0.7812
28,"ENSBTAG00000012088-ENSBTAG00000015910",0.7812
28,"ENSBTAG00000007148-ENSBTAG00000000898",0.7812
28,"ENSBTAG00000004630-ENSBTAG00000013745",0.7812
28,"ENSBTAG00000008121-ENSBTAG00000002606",0.7812
28,"ENSBTAG00000008096-ENSBTAG00000013674",0.7812
28,"ENSBTAG00000018255-ENSBTAG00000015127",0.7812
28,"ENSBTAG00000007148-ENSBTAG00000034848",0.7812
28,"ENSBTAG00000020457-ENSBTAG00000003045",0.7812
28,"ENSBTAG00000038735-ENSBTAG00000019903",0.7812
28,"ENSBTAG00000002317-ENSBTAG00000014966",0.7812
28,"ENSBTAG00000010963-ENSBTAG00000003255",0.7812
28,"ENSBTAG00000000575-ENSBTAG00000019289",0.7812
28,"ENSBTAG00000017246-ENSBTAG00000018035",0.7812
28,"ENSBTAG00000015991-ENSBTAG00000024015",0.7812
28,"ENSBTAG00000009478-ENSBTAG00000018035",0.7812
28,"ENSBTAG00000011966-ENSBTAG00000019929",0.7812
28,"ENSBTAG00000018463-ENSBTAG00000011578",0.7812
28,"ENSBTAG00000000277-ENSBTAG00000027676",0.7812
28,"ENSBTAG00000032436-ENSBTAG00000019832",0.7812
28,"ENSBTAG00000015509-ENSBTAG00000012687",0.7812
28,"ENSBTAG00000023907-ENSBTAG00000000782",0.7812
28,"ENSBTAG00000015991-ENSBTAG00000021190",0.7812
28,"ENSBTAG00000021105-ENSBTAG00000006240",0.7812
28,"ENSBTAG00000019964-ENSBTAG00000005828",0.7812
28,"ENSBTAG00000009615-ENSBTAG00000013290",0.7812
28,"ENSBTAG00000018103-ENSBTAG00000006240",0.7812
28,"ENSBTAG00000021316-ENSBTAG00000019289",0.7812
28,"ENSBTAG00000020194-ENSBTAG00000011628",0.7812
28,"ENSBTAG00000020342-ENSBTAG00000007047",0.7812
28,"ENSBTAG00000005710-ENSBTAG00000014064",0.7812
28,"ENSBTAG00000005339-ENSBTAG00000000782",0.7812
28,"ENSBTAG00000019267-ENSBTAG00000011578",0.7812
28,"ENSBTAG00000012228-ENSBTAG00000010146",0.7812
28,"ENSBTAG00000015789-ENSBTAG00000006732",0.7812
28,"ENSBTAG00000005108-ENSBTAG00000011154",0.7812
28,"ENSBTAG00000010663-ENSBTAG00000015910",0.7812
28,"ENSBTAG00000005111-ENSBTAG00000008997",0.7812
28,"ENSBTAG00000017473-ENSBTAG00000015910",0.7812
28,"ENSBTAG00000020645-ENSBTAG00000017489",0.7812
28,"ENSBTAG00000017246-ENSBTAG00000014064",0.7812
28,"ENSBTAG00000014921-ENSBTAG00000007101",0.7812
28,"ENSBTAG00000017753-ENSBTAG00000020054",0.7812
28,"ENSBTAG00000005111-ENSBTAG00000018114",0.7812
28,"ENSBTAG00000005198-ENSBTAG00000011578",0.7812
28,"ENSBTAG00000004261-ENSBTAG00000017060",0.7812
28,"ENSBTAG00000025644-ENSBTAG00000010986",0.7812
28,"ENSBTAG00000005077-ENSBTAG00000015910",0.7812
28,"ENSBTAG00000005710-ENSBTAG00000009851",0.7812
28,"ENSBTAG00000044040-ENSBTAG00000002804",0.7812
28,"ENSBTAG00000014583-ENSBTAG00000020661",0.7812
28,"ENSBTAG00000005691-ENSBTAG00000020644",0.7812
28,"ENSBTAG00000020645-ENSBTAG00000005990",0.7812
28,"ENSBTAG00000017664-ENSBTAG00000014357",0.7812
28,"ENSBTAG00000013363-ENSBTAG00000009851",0.7812
28,"ENSBTAG00000014583-ENSBTAG00000026813",0.7812
28,"ENSBTAG00000021811-ENSBTAG00000003777",0.7812
28,"ENSBTAG00000011291-ENSBTAG00000006732",0.7812
28,"ENSBTAG00000007708-ENSBTAG00000025324",0.7812
28,"ENSBTAG00000007273-ENSBTAG00000012314",0.7812
