	Zo_NP_1	Zo_NP_3	Zo_NP_4	Zo_NP_5	Zo_NP_6	Zo_NP_8	Zo_NP_9	Zo_NP_10	Zo_NP_11	Zo_NP_12	Zo_NP_13	Zo_NP_14	Zo_NP_15	SW_NP_1	SW_NP_3	SW_NP_5	Zo_PR_1	Zo_PR_2	Zo_PR_3	Zo_PR_4	SW_PR_1	SW_PR_2	SW_PR_3	SW_PR_4	SW_PR_5	SW_PR_6	SW_PR_7
PR_Jap_6	57329.8025597131	57266.6246428051	54723.7916613714	54643.1038636174	59607.0576529052	54531.0685609256	56265.5752365725	61971.9601417036	54262.5628942857	57592.8436985278	61512.0437801762	58997.844355678	60662.0850246552	62687.1414645889	60356.3623372986	58468.9509077354	64237.8741003207	65685.7130060643	66579.8362024481	63820.8581332553	59579.3814726675	61777.9012357096	58922.0271609481	57894.6933618816	59375.9781538403	59339.9533677998	60287.6545914047
nonPR_Jap_1	56877.6177333128	56849.9537224419	54333.3750719597	54297.8298044853	59157.9143651699	54149.2287214238	55838.5210633771	61439.9630785327	53887.4665602334	57179.1173396528	61079.4108395094	58513.7674582726	60201.2106492356	62234.4517337616	59923.1019468499	58023.3340158252	63722.0851299395	65184.2216980401	65976.7586547538	63318.1754098518	59139.9733196012	61339.7999403089	58499.5870811617	57497.7656622554	58984.2297940028	58853.6536558277	59849.1934987691
nonPR_Jap_2	56696.7734273544	56636.9766484455	54095.3277859922	54019.5630219017	58922.4443056968	53888.4623556443	55615.9622356747	61260.8668141456	53656.0914582287	56932.8645704658	60885.9133495115	58286.433291894	60015.5661186268	62039.3158067991	59709.3479170341	57839.4085074049	63475.4501548467	65020.5991793285	65835.5089443965	63175.0459414519	58907.9010372842	61037.3525591597	58269.5350874843	57314.1247250722	58698.7111786803	58654.6538403306	59626.1194737494
nonPR_Jap_3	57277.6865550607	57306.8518862368	54679.3670974546	54565.8788377131	59526.0866578645	54463.7355727287	56165.5397340169	62004.5692414559	54225.57737925	57564.08997936	61550.8387200524	58970.5023669927	60689.9242873959	62761.314256083	60386.0091978362	58490.4967138724	64253.4934210714	65722.0608440022	66635.2244371316	63914.4605721208	59558.451396557	61693.0347371971	58879.3278651688	57948.9430837342	59423.6844273986	59321.4025309745	60304.1905900633
nonPR_Jap_4	57551.8956205423	57589.0603069673	54931.3728942907	54842.0212906756	59803.4507270076	54741.1827544751	56466.7907921154	62240.6530618004	54461.034365478	57813.7032535671	61798.6835898047	59228.261900908	60913.8928375065	62933.2262592863	60612.4059473372	58704.5737530581	64474.2168589755	65983.8961593749	66870.1871689187	64133.989517229	59795.5546432236	62038.2365562915	59122.9156383286	58133.6720420439	59599.5907830748	59558.6327968792	60560.7540905138
nonPR_Jap_5	57190.0754888924	57066.0705040883	54530.3032889065	54438.0943074824	59400.9941144073	54330.8061353983	56058.6280282928	61735.0573355502	54024.723515887	57416.690140979	61436.7048105862	58849.9204303396	60518.9453375503	62552.4076821106	60192.995046824	58308.9238216564	64022.5574711094	65549.6668548389	66403.2572211335	63698.9268905618	59353.808681352	61564.6881234167	58743.036024188	57712.1397226622	59208.2393467578	59132.5881094911	60123.5958974227
nonPR_Sim_1	52593.6660547345	52787.162175299	50136.8863911763	50433.9808662819	54672.0524040363	50347.7629694928	51721.633057839	57399.8816332962	49828.4035000982	53049.3818022595	56485.8023529393	54112.3136921736	55652.9458728763	57725.9800426706	55902.6488850872	53836.9316852716	59287.6063640141	60430.9637636077	61096.2908284099	58933.8714184198	55163.969294505	56828.6154703255	54442.9674416215	53312.6022086468	54619.0643775459	54626.5605153463	55363.364189692
nonPR_Sim_2	53109.5732968433	53217.5804501209	50629.7990294364	50894.7963026305	55113.0192264472	50837.4631066848	52250.5343525353	57854.8993592135	50296.8940896914	53511.9077869327	56976.8148639722	54514.2694530359	56145.3325377601	58179.3322708543	56328.6929743806	54335.352903522	59753.0010048256	60931.8400987555	61619.7771473832	59421.6933821231	55633.095246525	57319.2040358977	54934.2542869997	53800.7601583579	55100.7828864428	55115.8887320893	55819.9819087537
nonPR_Sim_3	52822.8404188045	53074.8851565109	50362.7172686533	50658.2849875636	54870.7303134484	50549.695390798	51923.8203954212	57632.8895903924	50014.5972052367	53267.1268244373	56673.7105840868	54343.8017704063	55889.4910357859	57987.481526612	56186.7705333981	54055.1779482251	59610.9431430793	60714.8772466891	61362.7543859388	59216.6398849191	55418.3920675772	57089.8318481913	54676.4947602781	53537.135070994	54845.4970253448	54835.0946153764	55571.2366295521
PR_Sim_1	51553.7728561505	51721.587883313	49160.9157358101	49436.0114055272	53582.6711951462	49430.7032078189	50754.2035301997	56228.3568248368	48906.9926203764	51994.1085927783	55353.7584348293	53004.0318996414	54584.0777503382	56594.1888752281	54760.9967527168	52792.5225112675	58106.2231590231	59181.879241331	59875.6302860037	57759.5952277377	54034.3816756213	55661.6205970023	53338.099077581	52259.7184889422	53583.2293447101	53546.4785593056	54230.2979112055
PR_Sim_2	51913.2911769747	52125.5216137125	49543.9919574835	49827.5395808288	53993.4684478754	49835.2963730767	51151.16620193	56547.8400556223	49268.6914219939	52348.0156093108	55741.4720587193	53348.6328512272	54945.9522532322	56937.4329867252	55098.6428262648	53174.3991172551	58446.803669162	59575.5524896749	60253.3287447387	58100.6215793859	54386.8893883678	56080.9714082921	53721.6370356238	52656.9742521176	53940.8558171818	53958.6909678823	54639.8323818156
PR_Sim_3	52373.4594579513	52569.6878910134	49924.3465318355	50233.7992069369	54438.0811615255	50217.8721000736	51554.9529872402	57066.5048220296	49657.0266565017	52787.6630419851	56207.1105957199	53857.7268447825	55427.9523185144	57423.1036939685	55615.1491259696	53597.6142986585	59015.0398454792	60137.5284561875	60829.4664127964	58619.834499011	54888.9724892844	56600.1295907816	54202.0071294534	53079.4393044675	54400.5099237337	54393.2912119051	55095.4147370627
PR_Cont_1	51588.6878321329	51716.4982849106	49188.9315208003	49481.1530945005	53573.7957388603	49425.6171985739	50759.3719360325	56193.7587562417	48896.4792887297	52016.366434163	55387.3162919863	52990.7437956555	54628.3381449434	56630.3137689924	54798.0944599054	52878.6539333579	58118.2653872087	59250.1530124596	59878.1686086094	57816.2909731038	54081.8904513468	55672.8375408838	53343.2147025493	52310.7479085147	53617.8236646523	53512.3076997068	54252.3910215637
PR_Cont_2	52582.3599629382	52790.2584915121	50146.3846393309	50447.9696379041	54640.8034642521	50432.9052319686	51780.5463105456	57388.0038146995	49866.3261761347	53020.787038381	56428.3554051189	54053.0656168572	55639.5297123242	57705.4032635616	55851.9301389073	53868.9484736665	59291.182007804	60427.8373101038	61127.2258783179	58897.3788997966	55093.9468844012	56846.3622042981	54427.9314434284	53331.7652970395	54659.0314920965	54624.4770396577	55342.9450523181
PR_Cont_3	52561.5621624128	52818.053700427	50159.0515531026	50434.1480990855	54648.6735958675	50366.4569351147	51751.7990959739	57404.6535649877	49883.9797370499	52993.163434983	56480.3026658668	54112.3272109991	55685.8118358354	57717.2689043668	55904.8991848033	53837.2881277278	59285.1153024594	60379.8843135501	61084.1439611007	58918.7984702741	55164.4030611836	56830.1412458903	54404.7871492415	53335.0147165141	54675.8045657672	54598.4233777567	55342.8833657633
