	Zo_IVT_NP_3	Zo_IVT_NP_6	Zo_IVT_NP_10	Zo_IVT_NP_13	Zo_IVT_NP_15	Zo_IVT_NP_18	Zo_IVT_NP_20	Zo_IVT_NP_21	Zo_IVT_NP_23	Zo_IVT_NP_26	Zo_IVT_NP_28	Zo_IVT_PR_1	Zo_IVT_PR_2	Zo_IVT_PR_3	Zo_IVT_PR_5	Zo_IVT_PR_7	SW_IVT_NP_1	SW_IVT_NP_2	SW_IVT_NP_3	SW_IVT_NP_4	SW_IVT_NP_5	SW_IVT_NP_6	SW_IVT_PR_1	SW_IVT_PR_2	SW_IVT_PR_3	SW_IVT_PR_4
PR_Jap_3	61160.4066135702	67319.0808627045	66895.3933427743	62874.1646446904	59481.0990925953	67322.7033786474	64439.2865021505	69163.8784660892	65356.7714678466	66020.1922145749	71066.9173363237	61897.3469424732	59315.7593799424	62550.4508734573	65516.6896554503	65445.8097586055	68740.6246049592	69837.9303180594	69770.0284906421	66546.0997654105	67733.6135184657	68162.2765794188	70857.4521741256	68148.4644905398	66731.2442763631	71280.7507926066
PR_Jap_4	62103.8511805912	68429.9879224165	68074.2628685487	63897.1995359885	60593.7016840194	68424.8260555667	65567.7935733289	70324.4818401703	66351.5558340034	67105.9689025826	72278.2481175855	62942.6608101338	60316.8156809364	63658.9767483507	66657.7322584148	66497.9233187191	69970.332468299	71059.814283897	70987.6702631994	67593.0324144851	68879.6210734379	69355.4291743064	72107.6148514511	69285.4045203887	67836.2358206454	72499.0975944332
PR_Jap_5	60990.3633666694	67035.6645923418	66678.7177232687	62684.797792502	59353.2699705071	67084.2727933565	64250.3156030673	68921.8053750015	65091.1674148976	65786.1735344176	70807.5825215319	61750.227550976	59114.0097416065	62387.1336143243	65370.252903209	65187.2301877154	68507.7872010813	69594.3836890267	69537.1749738765	66253.8195489451	67452.0686401156	67969.0131463856	70615.3824227936	67899.805540961	66456.5253299014	71020.6708473639
PR_Jap_6	60254.8079426164	66352.1940202061	66007.1162379694	61980.7153300328	58868.8924956524	66420.1764665828	63553.6355322243	68216.4836753865	64425.9762501262	65114.7978145528	70011.3431402563	61101.6587138392	58471.32454343	61704.1836788944	64710.722939624	64531.0982371742	67884.1198086002	68877.6719901529	68782.4618659776	65553.3073756659	66760.6502007192	67213.8329684207	69936.9639969143	67145.5887962106	65793.5218282378	70290.9312234334
nonPR_Jap_1	59775.3410586319	65770.2754753203	65460.0841873714	61473.4033965998	58341.6909093118	65812.9281765995	63033.6863011212	67575.9773262137	63857.9811252138	64581.5071281301	69473.2476797523	60541.2535651934	57992.1683596157	61232.1317281062	64146.2486139153	63963.3724754358	67336.5660441698	68279.0324873297	68236.1958407805	65016.6358312205	66233.9550708345	66681.1992189133	69343.9278756239	66620.9048192396	65262.2688141364	69705.3320662735
nonPR_Jap_2	59740.5792979939	65607.0101092927	65208.7820563551	61392.6176868904	58276.1501296052	65675.3257896271	62916.574009104	67512.8231295539	63750.6480393204	64534.8522106096	69295.1352409047	60468.1202573107	57848.5402036171	61061.3956937315	64078.9715611291	63818.4068495856	67174.2744678346	68133.2132175395	68079.7995474648	64856.905954229	66043.3972120338	66481.2756913519	69158.8345057348	66444.0607032219	65115.3099449411	69537.3708233628
nonPR_Jap_3	60424.5791882143	66358.3879572071	66004.6483980979	62049.5068581806	58889.9795604477	66375.4948243266	63631.2556636967	68235.8995386451	64481.015274814	65218.9074194701	70085.5101812796	61158.4732912628	58570.2373005814	61811.8256459696	64795.6803717865	64576.1238447772	67869.1573139136	68923.1863087273	68825.5175463652	65604.69936115	66792.9414463152	67281.353738859	69921.7555203222	67196.0802650609	65810.9380836583	70346.9220857075
nonPR_Jap_4	60618.9240175467	66692.2963644752	66343.4957241161	62384.6689994405	59121.7328943806	66750.1450056757	63921.2285386329	68577.1311927406	64761.0851430439	65467.4113491525	70406.7571115881	61415.8868723578	58739.7326984548	62016.592703125	65060.7051490163	64868.5154735297	68216.2404525994	69227.2255021298	69165.1753710572	65884.9202214667	67076.8673483761	67579.0199780152	70294.6973842853	67486.7119246039	66124.659167319	70644.9632015642
nonPR_Jap_5	60278.6678297585	66270.9435282624	65902.1625016325	61973.1217950205	58907.0818926233	66323.3896762499	63550.276643161	68161.4787525732	64373.9644834351	65137.8185269124	69934.2566619065	61068.0179065926	58455.1433144372	61698.6389680069	64743.0444188759	64512.4405221573	67838.7169223076	68803.9189103911	68714.5619430197	65461.571950521	66652.1460603749	67138.8116467351	69868.3261044154	67071.2571005644	65728.5413916422	70226.5059108543
nonPR_Sim_1	55202.0646358351	60545.8153366025	60252.3790326434	56706.4493973466	53427.3650686109	60733.2717326421	58115.83880392	62355.2132745984	58978.9953161252	59685.3294848535	64149.2862072283	55963.9359187387	53368.0644724797	56350.8270567798	59116.951235903	58926.9980110506	62019.2772113016	63095.6807725998	62992.5496822983	59908.4094142559	60954.1776592211	61513.4605984783	63763.8969952433	61783.2457289242	60249.6096090372	64385.5124852262
nonPR_Sim_2	55642.9203115528	61041.9042180942	60773.0446873036	57088.1369887984	53905.9798295439	61223.5412313218	58616.2098894607	62813.3443791004	59450.2577126159	60110.4352472793	64681.3207212665	56332.5478740898	53792.1297203114	56862.003859148	59579.1522723012	59435.4131986219	62519.6123505239	63624.089006138	63525.6109607189	60323.0002587137	61430.1611643527	62025.2398827943	64293.4869219701	62312.3896975627	60716.0618788494	64910.3073352416
nonPR_Sim_3	55426.3067563243	60830.2932213525	60481.1562946595	56928.6290489174	53575.9861708078	61043.5436785788	58328.4327461819	62636.9585807135	59230.8675968626	59931.8844710966	64429.1068092214	56138.0987584141	53592.9845877782	56573.6334795403	59318.4692429162	59181.7918408053	62283.2798295225	63360.6128591066	63249.9824179252	60167.2805818556	61207.6195580342	61771.0017588835	64014.0580385999	62055.5037700005	60550.9764383991	64655.268003785
PR_Sim_1	54088.4193124517	59327.3823035438	59036.4411733317	55539.2862667577	52380.957914917	59496.0664620775	56910.4135167183	61078.5989192482	57787.7895866483	58390.7931470636	62831.131056987	54770.373151528	52230.4527403431	55223.532836998	57891.0188259743	57693.3831005254	60755.5644286618	61783.6512114578	61720.8162058179	58670.5113928701	59752.5015641496	60276.4398321208	62487.1444311546	60530.4435160711	59028.0635391993	63051.4868298962
PR_Sim_2	54468.3622764337	59675.987373299	59348.8251187679	55865.5630849096	52740.8807762699	59801.7893807931	57289.7925137637	61424.8043885311	58097.8203517926	58789.4032240645	63192.4867767882	55110.6722305374	52588.5968825921	55557.6780217737	58310.7251245193	57994.775594965	61122.5699066098	62152.2271114984	62098.544998472	59002.671453041	60108.4012231678	60648.6938854784	62868.167460121	60926.2149196978	59364.3374459774	63439.6571737151
PR_Sim_3	55004.3932732618	60301.2307248225	59995.1495132381	56454.640392809	53295.1770877502	60449.3855836095	57857.109539536	62067.4288142043	58713.2845455925	59398.8455407149	63818.9676790547	55677.6606477321	53168.7636459573	56135.3073321856	58896.6685841583	58681.6044190632	61760.8634964041	62800.2414608084	62702.4469664955	59588.367716878	60676.9070492083	61241.3056611934	63503.3597608488	61506.1523574392	59946.9363307186	64090.511211591
PR_Cont_1	54085.7716156077	59339.0776582015	59101.7748886908	55552.0377019764	52456.521230076	59471.7106322277	57009.5734088486	61068.9618920121	57818.0443894549	58446.0042875321	62904.5314918303	54803.6005753299	52351.2775756565	55298.6037378845	57944.7217265862	57766.5339305047	60797.6388009344	61832.076097394	61732.5081645916	58762.3559757958	59785.0779541929	60313.3785178707	62521.2221480293	60584.7894690172	59063.9584286463	63106.2983707504
PR_Cont_2	55228.0052554544	60591.2734345164	60273.7041782434	56681.4096477843	53402.5250426467	60739.4961655648	58114.6167018505	62343.4158107116	59003.1715791289	59676.167581061	64157.8176900134	55865.2330921631	53355.3679434247	56335.7820871295	59094.1606116073	58923.2451319705	62036.3984796105	63112.7526883273	62986.4885262839	59888.4641115224	60957.8571877595	61534.7239146775	63799.134252095	61804.1983167356	60275.6687595096	64388.1211356177
PR_Cont_3	55237.2701716934	60506.8105634674	60193.590207197	56671.688294133	53361.2156222451	60673.9335571385	58000.3177326572	62280.1045695361	58926.2095028574	59546.0220672455	64083.0767471229	55852.853938594	53359.685484554	56344.955087277	59018.6818687388	58861.5170166542	61933.136487184	63004.9654527277	62926.6851785217	59873.6679749488	60936.3469135485	61473.6946309739	63687.3615174228	61721.4053202576	60193.1399212046	64304.8026642128
PR_Cont_4	56093.8518534967	61528.5731464728	61222.4803479541	57588.5328444116	54225.8045380479	61717.4162814735	59016.9773064165	63361.5402695116	59926.4099364693	60590.9870547895	65191.7688980256	56790.956671133	54179.4159738191	57237.8083774307	60038.281929689	59867.9443201039	63018.496554536	64128.9876737294	64043.1484959857	60837.9072304987	61920.3178786269	62517.5074521464	64781.323396831	62806.7269316397	61237.7746364938	65423.0695424292
PR_Cont_5	56059.7781134919	61570.3622908973	61299.1516250769	57556.5218473772	54255.5906631079	61735.3439615415	59040.1311063705	63344.9434285977	59924.367624166	60569.2627277911	65196.9296904771	56764.1916375169	54242.2859446758	57270.1641869012	60009.2188527278	59899.3135034582	63048.609798437	64159.3232346576	64068.0851671148	60865.157986433	61974.9289828455	62528.0055706881	64808.0662700736	62827.0506083695	61227.069414468	65445.4888461229
PR_Cont_6	55327.2878634065	60628.0573329326	60286.0685475882	56771.3276588844	53511.5232861729	60790.3237949846	58198.2253657701	62452.8326782287	59050.5263188087	59758.0909207682	64243.3065017172	56016.0240028293	53436.6423011796	56424.0487501248	59224.2593896303	58944.8824388868	62088.6164699994	63166.0568212867	63093.4968230945	59974.3478342413	61078.108057377	61643.2612825556	63831.1870992714	61920.3125950164	60363.1607270713	64469.0024705727
