	Zo_IVT_NP_3	Zo_IVT_NP_6	Zo_IVT_NP_10	Zo_IVT_NP_13	Zo_IVT_NP_15	Zo_IVT_NP_18	Zo_IVT_NP_20	Zo_IVT_NP_21	Zo_IVT_NP_23	Zo_IVT_NP_26	Zo_IVT_NP_28	Zo_IVT_PR_1	Zo_IVT_PR_2	Zo_IVT_PR_3	Zo_IVT_PR_5	Zo_IVT_PR_7	SW_IVT_NP_1	SW_IVT_NP_2	SW_IVT_NP_3	SW_IVT_NP_4	SW_IVT_NP_5	SW_IVT_NP_6	SW_IVT_PR_1	SW_IVT_PR_2	SW_IVT_PR_3	SW_IVT_PR_4
ENSBTAG00000005462	5.274366755	9.013579976	5.274366755	5.274366755	5.274366755	8.488766464	10.13743661	6.442047082	9.678177069	5.274366755	5.274366755	5.274366755	10.62938042	5.274366755	5.352595019	6.547109445	6.4583052	6.513517403	5.83846621	7.112715714	7.682486121	6.430197748	7.636729529	6.718753951	7.132291857	6.931702198
ENSBTAG00000005464	6.450763771	6.450763771	6.450763771	6.450763771	6.450763771	6.450763771	6.450763771	6.450763771	6.450763771	10.2389089	6.450763771	6.450763771	6.450763771	6.450763771	6.530426921	6.575485393	6.120922274	7.328787349	6.684594611	6.225420909	6.723160565	6.207794839	7.132401866	7.073634238	6.004824873	7.13450769
ENSBTAG00000005465	8.50741517	8.173795479	9.906043151	7.603954137	9.753196367	5.589178596	9.219802335	5.589178596	8.769159471	8.473394628	5.589178596	5.589178596	9.429613294	9.727174675	8.49172671	5.714217525	8.059241591	6.796484305	8.877167209	9.110901401	8.958339386	8.232074197	7.589519411	6.789929498	8.514120281	6.509070261
ENSBTAG00000005469	8.757173177	8.696460733	9.457549618	9.926827338	8.612643951	8.55954443	7.067909474	8.106976749	9.817868138	7.123965803	9.137810693	5.285629859	5.285629859	7.830304122	8.77355103	5.408195288	7.923040664	7.322011359	7.783884367	7.941465303	8.602251566	7.625283031	7.275277729	7.443596668	8.510197503	6.941763617
ENSBTAG00000005470	5.666652585	5.666652585	9.674097268	5.666652585	5.666652585	7.965630796	5.666652585	7.226664803	9.013730773	5.666652585	5.666652585	8.767693106	8.15168828	9.641546111	5.744919574	5.789188361	7.168507165	6.1897586	6.213286913	7.141461235	6.837833953	6.697098428	6.905475406	6.046670016	7.240027534	6.259307612
ENSBTAG00000005471	5.772833776	5.772833776	5.772833776	5.772833776	5.772833776	5.772833776	5.772833776	5.772833776	5.772833776	5.772833776	5.772833776	5.772833776	5.772833776	5.772833776	5.961761294	6.068621058	5.625153472	6.253993487	5.894406522	5.665517628	5.734011905	5.850998916	5.799256663	6.052103202	5.416635535	5.748567982
ENSBTAG00000005474	5.673733816	5.673733816	5.673733816	5.673733816	5.673733816	5.673733816	5.673733816	8.884486519	5.673733816	5.673733816	5.673733816	5.673733816	5.673733816	6.638707044	5.753698062	5.798926838	5.992255315	6.06356067	5.92268163	5.888082385	5.236740738	6.270997049	5.367475697	6.645629416	5.948254323	5.796669818
ENSBTAG00000005475	10.52568174	8.268920149	9.310189328	8.057697482	10.04968768	9.255675288	9.679500295	8.692847219	8.026601053	5.599884758	5.599884758	5.599884758	5.599884758	5.599884758	5.6794804	5.724500689	8.335961453	7.279004382	6.002454954	8.961704758	8.467589308	8.274567749	6.540717256	6.016999442	7.767499618	6.54410553
ENSBTAG00000005477	5.659190376	5.659190376	5.659190376	5.659190376	5.659190376	5.659190376	5.659190376	5.659190376	5.659190376	5.659190376	5.659190376	5.659190376	5.659190376	5.659190376	5.816330851	5.905211467	5.608091331	5.803393483	5.719433464	5.524052445	5.652625082	5.707886975	5.769602216	5.803790964	5.579585757	5.682966909
ENSBTAG00000005478	9.928273474	5.556135373	5.556135373	5.556135373	5.556135373	5.556135373	5.556135373	5.556135373	5.556135373	5.556135373	5.556135373	5.556135373	5.556135373	5.556135373	5.637589488	5.683660953	5.177037684	5.38844834	5.603928103	5.628876411	4.80364172	6.937177477	5.860788507	7.022302535	5.379047345	5.741151502
ENSBTAG00000005479	5.780879886	5.780879886	5.780879886	5.780879886	5.780879886	5.780879886	5.780879886	5.780879886	5.780879886	5.780879886	5.780879886	5.780879886	5.780879886	5.780879886	5.97125231	6.07892933	5.374284951	5.934277693	5.810780202	5.95597058	6.016814212	5.73136299	6.038663683	5.842024133	5.513468762	5.725878852
ENSBTAG00000005481	9.315470888	9.589812564	9.204809188	9.52638946	10.27171319	8.880651104	7.424907723	8.893723527	10.14549149	10.23959741	9.032977599	9.16643196	4.980623277	9.244720782	5.059780809	9.877515043	9.04992075	9.842759383	8.95306102	7.703818808	7.955135535	7.980769321	8.861912245	8.337012062	8.750594923	9.856694577
ENSBTAG00000005482	5.744530804	5.744530804	5.744530804	5.744530804	5.744530804	5.744530804	5.744530804	5.744530804	5.744530804	5.744530804	5.744530804	5.744530804	5.744530804	5.744530804	5.824469063	5.869683141	6.070160294	5.522828166	5.522828166	6.474471418	6.497833603	5.867535872	5.805858359	5.548306328	5.927763784	5.444446825
ENSBTAG00000005488	8.167579007	8.729352949	8.566225134	5.77662372	8.466375505	5.77662372	5.77662372	9.056257614	8.858214091	8.13465534	8.673167668	6.382812394	5.77662372	5.77662372	5.855046411	11.44911499	7.441573867	7.872611082	7.865363033	6.554038375	7.124951629	7.587521696	7.461566946	8.794895764	6.883181477	7.493806166
