ligand	receptor	d.ligand	d.receptor	ligand_ensembl	receptor_ensembl
NCAM1	ROBO1	neural cell adhesion molecule 1	roundabout guidance receptor 1	ENSBTAG00000005710	ENSBTAG00000009851
NCAM1	ROBO3	neural cell adhesion molecule 1	roundabout guidance receptor 3	ENSBTAG00000005710	ENSBTAG00000004355
NCAN	CDH2	neurocan	cadherin 2	ENSBTAG00000001764	ENSBTAG00000021190
NCAN	SDC3	neurocan	syndecan 3	ENSBTAG00000001764	ENSBTAG00000026676
NDP	FZD4	norrin cystine knot growth factor NDP	frizzled class receptor 4	ENSBTAG00000012623	ENSBTAG00000074291
NDP	LGR4	norrin cystine knot growth factor NDP	leucine rich repeat containing G protein-coupled receptor 4	ENSBTAG00000012623	ENSBTAG00000002606
NECTIN2	CD226	nectin cell adhesion molecule 2	CD226 molecule	ENSBTAG00000015318	ENSBTAG00000009266
NECTIN2	PVRIG	nectin cell adhesion molecule 2	PVR related immunoglobulin domain containing	ENSBTAG00000015318	ENSBTAG00000010521
NECTIN3	TIGIT	nectin cell adhesion molecule 3	T cell immunoreceptor with Ig and ITIM domains	ENSBTAG00000013769	ENSBTAG00000011921
NGF	KIDINS220	nerve growth factor	kinase D interacting substrate 220	ENSBTAG00000007446	ENSBTAG00000007963
NGF	MAGED1	nerve growth factor	MAGE family member D1	ENSBTAG00000007446	ENSBTAG00000008733
NGF	NGFR	nerve growth factor	nerve growth factor receptor	ENSBTAG00000007446	ENSBTAG00000020979
NGF	NTRK1	nerve growth factor	neurotrophic receptor tyrosine kinase 1	ENSBTAG00000007446	ENSBTAG00000003060
NGF	SORCS3	nerve growth factor	sortilin related VPS10 domain containing receptor 3	ENSBTAG00000007446	ENSBTAG00000004612
NGF	SORT1	nerve growth factor	sortilin 1	ENSBTAG00000007446	ENSBTAG00000008849
NID1	COL13A1	nidogen 1	collagen type XIII alpha 1 chain	ENSBTAG00000007244	ENSBTAG00000011741
NID1	ITGA3	nidogen 1	integrin subunit alpha 3	ENSBTAG00000007244	ENSBTAG00000019498
NID1	ITGAV	nidogen 1	integrin subunit alpha V	ENSBTAG00000007244	ENSBTAG00000019929
