ligand	receptor	d.ligand	d.receptor	ligand_ensembl	receptor_ensembl
CSF2	CSF1R	colony stimulating factor 2	colony stimulating factor 1 receptor	ENSBTAG00000001570	ENSBTAG00000012771
CSF2	CSF2RA	colony stimulating factor 2	colony stimulating factor 2 receptor subunit alpha	ENSBTAG00000001570	ENSBTAG00000072523
CSF2	CSF2RB	colony stimulating factor 2	colony stimulating factor 2 receptor subunit beta	ENSBTAG00000001570	ENSBTAG00000009064
CSF2	CSF3R	colony stimulating factor 2	colony stimulating factor 3 receptor	ENSBTAG00000001570	ENSBTAG00000013334
CSF2	IL3RA	colony stimulating factor 2	interleukin 3 receptor subunit alpha	ENSBTAG00000001570	ENSBTAG00000049808
CSF2	ITGA9	colony stimulating factor 2	integrin subunit alpha 9	ENSBTAG00000001570	ENSBTAG00000016566
CSF2	ITGB1	colony stimulating factor 2	integrin subunit beta 1	ENSBTAG00000001570	ENSBTAG00000015910
CSF2	SDC2	colony stimulating factor 2	syndecan 2	ENSBTAG00000001570	ENSBTAG00000014357
CSF3	CSF1R	colony stimulating factor 3	colony stimulating factor 1 receptor	ENSBTAG00000021462	ENSBTAG00000012771
CSF3	CSF3R	colony stimulating factor 3	colony stimulating factor 3 receptor	ENSBTAG00000021462	ENSBTAG00000013334
CSH2	PRLR	chorionic somatomammotropin hormone 2	prolactin receptor	ENSBTAG00000006761	ENSBTAG00000025035
CTF1	IL6ST	cardiotrophin 1	interleukin 6 cytokine family signal transducer	ENSBTAG00000017697	ENSBTAG00000017745
CTF1	LIFR	cardiotrophin 1	LIF receptor subunit alpha	ENSBTAG00000017697	ENSBTAG00000010423
CTHRC1	FZD3	collagen triple helix repeat containing 1	frizzled class receptor 3	ENSBTAG00000032591	ENSBTAG00000035084
CTHRC1	FZD5	collagen triple helix repeat containing 1	frizzled class receptor 5	ENSBTAG00000032591	ENSBTAG00000020957
CTHRC1	FZD6	collagen triple helix repeat containing 1	frizzled class receptor 6	ENSBTAG00000032591	ENSBTAG00000010529
CUBN	LRP2	cubilin	LDL receptor related protein 2	ENSBTAG00000005072	ENSBTAG00000004555
CX3CL1	CX3CR1	C-X3-C motif chemokine ligand 1	C-X3-C motif chemokine receptor 1	ENSBTAG00000024869	ENSBTAG00000002923
CXCL10	ADRA2A	C-X-C motif chemokine ligand 10	adrenoceptor alpha 2A	ENSBTAG00000001725	ENSBTAG00000039292
CXCL10	CCR3	C-X-C motif chemokine ligand 10	C-C motif chemokine receptor 3	ENSBTAG00000001725	ENSBTAG00000001338
CXCL10	CXCR3	C-X-C motif chemokine ligand 10	C-X-C motif chemokine receptor 3	ENSBTAG00000001725	ENSBTAG00000014798
CXCL10	GRM7	C-X-C motif chemokine ligand 10	glutamate metabotropic receptor 7	ENSBTAG00000001725	ENSBTAG00000013047
CXCL10	MTNR1A	C-X-C motif chemokine ligand 10	melatonin receptor 1A	ENSBTAG00000001725	ENSBTAG00000046938
CXCL10	SDC4	C-X-C motif chemokine ligand 10	syndecan 4	ENSBTAG00000001725	ENSBTAG00000015127
CXCL11	ACKR1	C-X-C motif chemokine ligand 11	atypical chemokine receptor 1 (Duffy blood group)	ENSBTAG00000063224	ENSBTAG00000003220
CXCL11	ACKR3	C-X-C motif chemokine ligand 11	atypical chemokine receptor 3	ENSBTAG00000063224	ENSBTAG00000018424
CXCL11	ADRA2A	C-X-C motif chemokine ligand 11	adrenoceptor alpha 2A	ENSBTAG00000063224	ENSBTAG00000039292
CXCL11	CCR3	C-X-C motif chemokine ligand 11	C-C motif chemokine receptor 3	ENSBTAG00000063224	ENSBTAG00000001338
CXCL11	CXCR3	C-X-C motif chemokine ligand 11	C-X-C motif chemokine receptor 3	ENSBTAG00000063224	ENSBTAG00000014798
CXCL11	GRM7	C-X-C motif chemokine ligand 11	glutamate metabotropic receptor 7	ENSBTAG00000063224	ENSBTAG00000013047
CXCL11	MTNR1A	C-X-C motif chemokine ligand 11	melatonin receptor 1A	ENSBTAG00000063224	ENSBTAG00000046938
CXCL12	ACKR3	C-X-C motif chemokine ligand 12	atypical chemokine receptor 3	ENSBTAG00000005077	ENSBTAG00000018424
CXCL12	ADRA2A	C-X-C motif chemokine ligand 12	adrenoceptor alpha 2A	ENSBTAG00000005077	ENSBTAG00000039292
CXCL12	CCR4	C-X-C motif chemokine ligand 12	C-C motif chemokine receptor 4	ENSBTAG00000005077	ENSBTAG00000034883
CXCL12	CD4	C-X-C motif chemokine ligand 12	CD4 molecule	ENSBTAG00000005077	ENSBTAG00000003255
CXCL12	CXCR3	C-X-C motif chemokine ligand 12	C-X-C motif chemokine receptor 3	ENSBTAG00000005077	ENSBTAG00000014798
CXCL12	CXCR4	C-X-C motif chemokine ligand 12	C-X-C motif chemokine receptor 4	ENSBTAG00000005077	ENSBTAG00000001060
CXCL12	GRM7	C-X-C motif chemokine ligand 12	glutamate metabotropic receptor 7	ENSBTAG00000005077	ENSBTAG00000013047
CXCL12	ITGB1	C-X-C motif chemokine ligand 12	integrin subunit beta 1	ENSBTAG00000005077	ENSBTAG00000015910
CXCL12	MTNR1A	C-X-C motif chemokine ligand 12	melatonin receptor 1A	ENSBTAG00000005077	ENSBTAG00000046938
CXCL12	SDC4	C-X-C motif chemokine ligand 12	syndecan 4	ENSBTAG00000005077	ENSBTAG00000015127
CXCL13	ACKR4	C-X-C motif chemokine ligand 13	atypical chemokine receptor 4	ENSBTAG00000008479	ENSBTAG00000019577
CXCL13	ADRA2A	C-X-C motif chemokine ligand 13	adrenoceptor alpha 2A	ENSBTAG00000008479	ENSBTAG00000039292
CXCL13	CCR10	C-X-C motif chemokine ligand 13	C-C motif chemokine receptor 10	ENSBTAG00000008479	ENSBTAG00000019095
CXCL13	CXCR3	C-X-C motif chemokine ligand 13	C-X-C motif chemokine receptor 3	ENSBTAG00000008479	ENSBTAG00000014798
CXCL13	GRM7	C-X-C motif chemokine ligand 13	glutamate metabotropic receptor 7	ENSBTAG00000008479	ENSBTAG00000013047
CXCL13	HTR2A	C-X-C motif chemokine ligand 13	5-hydroxytryptamine receptor 2A	ENSBTAG00000008479	ENSBTAG00000013498
CXCL13	MTNR1A	C-X-C motif chemokine ligand 13	melatonin receptor 1A	ENSBTAG00000008479	ENSBTAG00000046938
CXCL13	OPRD1	C-X-C motif chemokine ligand 13	opioid receptor delta 1	ENSBTAG00000008479	ENSBTAG00000003202
CXCL16	ADRA2A	C-X-C motif chemokine ligand 16	adrenoceptor alpha 2A	ENSBTAG00000031998	ENSBTAG00000039292
CXCL16	CXCR6	C-X-C motif chemokine ligand 16	C-X-C motif chemokine receptor 6	ENSBTAG00000031998	ENSBTAG00000015708
CXCL16	GRM7	C-X-C motif chemokine ligand 16	glutamate metabotropic receptor 7	ENSBTAG00000031998	ENSBTAG00000013047
CXCL16	MTNR1A	C-X-C motif chemokine ligand 16	melatonin receptor 1A	ENSBTAG00000031998	ENSBTAG00000046938
CXCL2	ADRA2A	C-X-C motif chemokine ligand 2	adrenoceptor alpha 2A	ENSBTAG00000027513	ENSBTAG00000039292
CXCL2	CXCR1	C-X-C motif chemokine ligand 2	C-X-C motif chemokine receptor 1	ENSBTAG00000027513	ENSBTAG00000026753
CXCL2	CXCR2	C-X-C motif chemokine ligand 2	C-X-C motif chemokine receptor 2	ENSBTAG00000027513	ENSBTAG00000038042
CXCL2	GRM7	C-X-C motif chemokine ligand 2	glutamate metabotropic receptor 7	ENSBTAG00000027513	ENSBTAG00000013047
CXCL2	MTNR1A	C-X-C motif chemokine ligand 2	melatonin receptor 1A	ENSBTAG00000027513	ENSBTAG00000046938
CXCL2	XCR1	C-X-C motif chemokine ligand 2	X-C motif chemokine receptor 1	ENSBTAG00000027513	ENSBTAG00000063018
CXCL3	ADRA2A	C-X-C motif chemokine ligand 3	adrenoceptor alpha 2A	ENSBTAG00000037778	ENSBTAG00000039292
CXCL3	CXCR1	C-X-C motif chemokine ligand 3	C-X-C motif chemokine receptor 1	ENSBTAG00000037778	ENSBTAG00000026753
CXCL3	CXCR2	C-X-C motif chemokine ligand 3	C-X-C motif chemokine receptor 2	ENSBTAG00000037778	ENSBTAG00000038042
CXCL3	GRM7	C-X-C motif chemokine ligand 3	glutamate metabotropic receptor 7	ENSBTAG00000037778	ENSBTAG00000013047
CXCL3	MTNR1A	C-X-C motif chemokine ligand 3	melatonin receptor 1A	ENSBTAG00000037778	ENSBTAG00000046938
CXCL5	ACKR1	C-X-C motif chemokine ligand 5	atypical chemokine receptor 1 (Duffy blood group)	ENSBTAG00000009812	ENSBTAG00000003220
CXCL5	ADRA2A	C-X-C motif chemokine ligand 5	adrenoceptor alpha 2A	ENSBTAG00000009812	ENSBTAG00000039292
CXCL5	CXCR1	C-X-C motif chemokine ligand 5	C-X-C motif chemokine receptor 1	ENSBTAG00000009812	ENSBTAG00000026753
CXCL5	CXCR2	C-X-C motif chemokine ligand 5	C-X-C motif chemokine receptor 2	ENSBTAG00000009812	ENSBTAG00000038042
CXCL5	GRM7	C-X-C motif chemokine ligand 5	glutamate metabotropic receptor 7	ENSBTAG00000009812	ENSBTAG00000013047
CXCL5	MTNR1A	C-X-C motif chemokine ligand 5	melatonin receptor 1A	ENSBTAG00000009812	ENSBTAG00000046938
CXCL8	ACKR1	C-X-C motif chemokine ligand 8	atypical chemokine receptor 1 (Duffy blood group)	ENSBTAG00000019716	ENSBTAG00000003220
CXCL8	ADRA2A	C-X-C motif chemokine ligand 8	adrenoceptor alpha 2A	ENSBTAG00000019716	ENSBTAG00000039292
CXCL8	CXCR1	C-X-C motif chemokine ligand 8	C-X-C motif chemokine receptor 1	ENSBTAG00000019716	ENSBTAG00000026753
CXCL8	CXCR2	C-X-C motif chemokine ligand 8	C-X-C motif chemokine receptor 2	ENSBTAG00000019716	ENSBTAG00000038042
CXCL8	GRM7	C-X-C motif chemokine ligand 8	glutamate metabotropic receptor 7	ENSBTAG00000019716	ENSBTAG00000013047
CXCL8	MTNR1A	C-X-C motif chemokine ligand 8	melatonin receptor 1A	ENSBTAG00000019716	ENSBTAG00000046938
CXCL9	ADRA2A	C-X-C motif chemokine ligand 9	adrenoceptor alpha 2A	ENSBTAG00000069240	ENSBTAG00000039292
CXCL9	CCR3	C-X-C motif chemokine ligand 9	C-C motif chemokine receptor 3	ENSBTAG00000069240	ENSBTAG00000001338
CXCL9	CXCR3	C-X-C motif chemokine ligand 9	C-X-C motif chemokine receptor 3	ENSBTAG00000069240	ENSBTAG00000014798
CXCL9	GRM7	C-X-C motif chemokine ligand 9	glutamate metabotropic receptor 7	ENSBTAG00000069240	ENSBTAG00000013047
CXCL9	MTNR1A	C-X-C motif chemokine ligand 9	melatonin receptor 1A	ENSBTAG00000069240	ENSBTAG00000046938
DCN	EGFR	decorin	epidermal growth factor receptor	ENSBTAG00000003505	ENSBTAG00000011628
DCN	ERBB4	decorin	erb-b2 receptor tyrosine kinase 4	ENSBTAG00000003505	ENSBTAG00000012647
DCN	MET	decorin	"MET proto-oncogene, receptor tyrosine kinase"	ENSBTAG00000003505	ENSBTAG00000006161
DEFB1	CCR6	defensin beta 1	C-C motif chemokine receptor 6	ENSBTAG00000075573	ENSBTAG00000014496
DEFB4A	CCR6	defensin beta 4A	C-C motif chemokine receptor 6	ENSBTAG00000053557	ENSBTAG00000014496
DEFB4A	TLR4	defensin beta 4A	toll like receptor 4	ENSBTAG00000053557	ENSBTAG00000006240
DHH	BOC	desert hedgehog signaling molecule	"BOC cell adhesion associated, oncogene regulated"	ENSBTAG00000000124	ENSBTAG00000013909
DHH	CDON	desert hedgehog signaling molecule	"cell adhesion associated, oncogene regulated"	ENSBTAG00000000124	ENSBTAG00000009315
DHH	HHIP	desert hedgehog signaling molecule	hedgehog interacting protein	ENSBTAG00000000124	ENSBTAG00000016071
DHH	PTCH1	desert hedgehog signaling molecule	patched 1	ENSBTAG00000000124	ENSBTAG00000009903
DHH	PTCH2	desert hedgehog signaling molecule	patched 2	ENSBTAG00000000124	ENSBTAG00000024137
DKK1	KREMEN1	dickkopf WNT signaling pathway inhibitor 1	kringle containing transmembrane protein 1	ENSBTAG00000014218	ENSBTAG00000009773
DKK1	KREMEN2	dickkopf WNT signaling pathway inhibitor 1	kringle containing transmembrane protein 2	ENSBTAG00000014218	ENSBTAG00000020190
DKK1	LRP5	dickkopf WNT signaling pathway inhibitor 1	LDL receptor related protein 5	ENSBTAG00000014218	ENSBTAG00000005903
DKK1	LRP6	dickkopf WNT signaling pathway inhibitor 1	LDL receptor related protein 6	ENSBTAG00000014218	ENSBTAG00000011761
DKK2	KREMEN2	dickkopf WNT signaling pathway inhibitor 2	kringle containing transmembrane protein 2	ENSBTAG00000012969	ENSBTAG00000020190
DKK2	LRP6	dickkopf WNT signaling pathway inhibitor 2	LDL receptor related protein 6	ENSBTAG00000012969	ENSBTAG00000011761
DLK2	NOTCH1	delta like non-canonical Notch ligand 2	notch receptor 1	ENSBTAG00000005850	ENSBTAG00000022799
DLL1	NOTCH1	delta like canonical Notch ligand 1	notch receptor 1	ENSBTAG00000031476	ENSBTAG00000022799
DLL1	NOTCH2	delta like canonical Notch ligand 1	notch receptor 2	ENSBTAG00000031476	ENSBTAG00000007909
DLL1	NOTCH3	delta like canonical Notch ligand 1	notch receptor 3	ENSBTAG00000031476	ENSBTAG00000043971
DLL1	NOTCH4	delta like canonical Notch ligand 1	notch receptor 4	ENSBTAG00000031476	ENSBTAG00000025424
DLL4	NOTCH1	delta like canonical Notch ligand 4	notch receptor 1	ENSBTAG00000010361	ENSBTAG00000022799
DLL4	NOTCH4	delta like canonical Notch ligand 4	notch receptor 4	ENSBTAG00000010361	ENSBTAG00000025424
DMP1	ITGB3	dentin matrix acidic phosphoprotein 1	integrin subunit beta 3	ENSBTAG00000019132	ENSBTAG00000009987
DSCAM	DCC	DS cell adhesion molecule	DCC netrin 1 receptor	ENSBTAG00000004754	ENSBTAG00000048378
DSPP	ITGB1	dentin sialophosphoprotein	integrin subunit beta 1	ENSBTAG00000045714	ENSBTAG00000015910
DUSP18	CD151	dual specificity phosphatase 18	CD151 molecule (Raph blood group)	ENSBTAG00000017459	ENSBTAG00000019569
DUSP18	ITGA1	dual specificity phosphatase 18	integrin subunit alpha 1	ENSBTAG00000017459	ENSBTAG00000016525
DUSP18	ITGA2	dual specificity phosphatase 18	integrin subunit alpha 2	ENSBTAG00000017459	ENSBTAG00000019289
DUSP18	ITGA3	dual specificity phosphatase 18	integrin subunit alpha 3	ENSBTAG00000017459	ENSBTAG00000019498
DUSP18	ITGA6	dual specificity phosphatase 18	integrin subunit alpha 6	ENSBTAG00000017459	ENSBTAG00000017266
DUSP18	ITGA7	dual specificity phosphatase 18	integrin subunit alpha 7	ENSBTAG00000017459	ENSBTAG00000012897
DUSP18	ITGB1	dual specificity phosphatase 18	integrin subunit beta 1	ENSBTAG00000017459	ENSBTAG00000015910
DUSP18	ITGB4	dual specificity phosphatase 18	integrin subunit beta 4	ENSBTAG00000017459	ENSBTAG00000018169
DUSP18	RPSA	dual specificity phosphatase 18	ribosomal protein SA	ENSBTAG00000017459	ENSBTAG00000009757
EBI3	IL27RA	Epstein-Barr virus induced 3	interleukin 27 receptor subunit alpha	ENSBTAG00000012829	ENSBTAG00000016933
EBI3	IL6ST	Epstein-Barr virus induced 3	interleukin 6 cytokine family signal transducer	ENSBTAG00000012829	ENSBTAG00000017745
ECM1	CACHD1	extracellular matrix protein 1	cache domain containing 1	ENSBTAG00000003806	ENSBTAG00000016455
EDA	EDA2R	ectodysplasin A	ectodysplasin A2 receptor	ENSBTAG00000012543	ENSBTAG00000047326
EDA	EDAR	ectodysplasin A	ectodysplasin A receptor	ENSBTAG00000012543	ENSBTAG00000019628
EDIL3	ITGAV	EGF like repeats and discoidin domains 3	integrin subunit alpha V	ENSBTAG00000044033	ENSBTAG00000019929
EDIL3	ITGB5	EGF like repeats and discoidin domains 3	integrin subunit beta 5	ENSBTAG00000044033	ENSBTAG00000013755
EDN1	EDNRA	endothelin 1	endothelin receptor type A	ENSBTAG00000008096	ENSBTAG00000013674
EDN1	EDNRB	endothelin 1	endothelin receptor type B	ENSBTAG00000008096	ENSBTAG00000005299
EDN1	ADGRL4	endothelin 1	adhesion G protein-coupled receptor L4	ENSBTAG00000008096	ENSBTAG00000019733
EDN1	KEL	endothelin 1	Kell metallo-endopeptidase (Kell blood group)	ENSBTAG00000008096	ENSBTAG00000014533
EDN2	EDNRA	endothelin 2	endothelin receptor type A	ENSBTAG00000021434	ENSBTAG00000013674
EDN2	EDNRB	endothelin 2	endothelin receptor type B	ENSBTAG00000021434	ENSBTAG00000005299
EDN2	KEL	endothelin 2	Kell metallo-endopeptidase (Kell blood group)	ENSBTAG00000021434	ENSBTAG00000014533
EDN3	EDNRA	endothelin 3	endothelin receptor type A	ENSBTAG00000012109	ENSBTAG00000013674
EDN3	EDNRB	endothelin 3	endothelin receptor type B	ENSBTAG00000012109	ENSBTAG00000005299
EDN3	KEL	endothelin 3	Kell metallo-endopeptidase (Kell blood group)	ENSBTAG00000012109	ENSBTAG00000014533
EFEMP1	EGFR	EGF containing fibulin extracellular matrix protein 1	epidermal growth factor receptor	ENSBTAG00000017448	ENSBTAG00000011628
EFEMP2	CATSPER1	EGF containing fibulin extracellular matrix protein 2	cation channel sperm associated 1	ENSBTAG00000021457	ENSBTAG00000014720
EFEMP2	LINGO1	EGF containing fibulin extracellular matrix protein 2	leucine rich repeat and Ig domain containing 1	ENSBTAG00000021457	ENSBTAG00000023147
EFEMP2	PLSCR4	EGF containing fibulin extracellular matrix protein 2	phospholipid scramblase 4	ENSBTAG00000021457	ENSBTAG00000011986
EFNA1	EPHA1	ephrin A1	EPH receptor A1	ENSBTAG00000020244	ENSBTAG00000006359
EFNA1	EPHA10	ephrin A1	EPH receptor A10	ENSBTAG00000020244	ENSBTAG00000020510
EFNA1	EPHA2	ephrin A1	EPH receptor A2	ENSBTAG00000020244	ENSBTAG00000000815
EFNA1	EPHA3	ephrin A1	EPH receptor A3	ENSBTAG00000020244	ENSBTAG00000006811
EFNA1	EPHA4	ephrin A1	EPH receptor A4	ENSBTAG00000020244	ENSBTAG00000010030
EFNA1	EPHA5	ephrin A1	EPH receptor A5	ENSBTAG00000020244	ENSBTAG00000009438
EFNA1	EPHA6	ephrin A1	EPH receptor A6	ENSBTAG00000020244	ENSBTAG00000044111
EFNA1	EPHA7	ephrin A1	EPH receptor A7	ENSBTAG00000020244	ENSBTAG00000021420
EFNA1	EPHA8	ephrin A1	EPH receptor A8	ENSBTAG00000020244	ENSBTAG00000020102
EFNA1	EPHB1	ephrin A1	EPH receptor B1	ENSBTAG00000020244	ENSBTAG00000015377
EFNA1	EPHB6	ephrin A1	EPH receptor B6	ENSBTAG00000020244	ENSBTAG00000015510
EFNA2	EPHA1	ephrin A2	EPH receptor A1	ENSBTAG00000038221	ENSBTAG00000006359
EFNA2	EPHA10	ephrin A2	EPH receptor A10	ENSBTAG00000038221	ENSBTAG00000020510
EFNA2	EPHA2	ephrin A2	EPH receptor A2	ENSBTAG00000038221	ENSBTAG00000000815
EFNA2	EPHA3	ephrin A2	EPH receptor A3	ENSBTAG00000038221	ENSBTAG00000006811
EFNA2	EPHA4	ephrin A2	EPH receptor A4	ENSBTAG00000038221	ENSBTAG00000010030
EFNA2	EPHA5	ephrin A2	EPH receptor A5	ENSBTAG00000038221	ENSBTAG00000009438
EFNA2	EPHA6	ephrin A2	EPH receptor A6	ENSBTAG00000038221	ENSBTAG00000044111
EFNA2	EPHA7	ephrin A2	EPH receptor A7	ENSBTAG00000038221	ENSBTAG00000021420
EFNA2	EPHA8	ephrin A2	EPH receptor A8	ENSBTAG00000038221	ENSBTAG00000020102
EFNA3	EPHA1	ephrin A3	EPH receptor A1	ENSBTAG00000033423	ENSBTAG00000006359
EFNA3	EPHA10	ephrin A3	EPH receptor A10	ENSBTAG00000033423	ENSBTAG00000020510
EFNA3	EPHA2	ephrin A3	EPH receptor A2	ENSBTAG00000033423	ENSBTAG00000000815
EFNA3	EPHA3	ephrin A3	EPH receptor A3	ENSBTAG00000033423	ENSBTAG00000006811
EFNA3	EPHA4	ephrin A3	EPH receptor A4	ENSBTAG00000033423	ENSBTAG00000010030
EFNA3	EPHA5	ephrin A3	EPH receptor A5	ENSBTAG00000033423	ENSBTAG00000009438
EFNA3	EPHA6	ephrin A3	EPH receptor A6	ENSBTAG00000033423	ENSBTAG00000044111
EFNA3	EPHA7	ephrin A3	EPH receptor A7	ENSBTAG00000033423	ENSBTAG00000021420
EFNA3	EPHA8	ephrin A3	EPH receptor A8	ENSBTAG00000033423	ENSBTAG00000020102
EFNA3	EPHB1	ephrin A3	EPH receptor B1	ENSBTAG00000033423	ENSBTAG00000015377
EFNA3	EPHB6	ephrin A3	EPH receptor B6	ENSBTAG00000033423	ENSBTAG00000015510
EFNA4	EPHA1	ephrin A4	EPH receptor A1	ENSBTAG00000010673	ENSBTAG00000006359
EFNA4	EPHA10	ephrin A4	EPH receptor A10	ENSBTAG00000010673	ENSBTAG00000020510
EFNA4	EPHA2	ephrin A4	EPH receptor A2	ENSBTAG00000010673	ENSBTAG00000000815
EFNA4	EPHA3	ephrin A4	EPH receptor A3	ENSBTAG00000010673	ENSBTAG00000006811
EFNA4	EPHA4	ephrin A4	EPH receptor A4	ENSBTAG00000010673	ENSBTAG00000010030
EFNA4	EPHA5	ephrin A4	EPH receptor A5	ENSBTAG00000010673	ENSBTAG00000009438
EFNA4	EPHA6	ephrin A4	EPH receptor A6	ENSBTAG00000010673	ENSBTAG00000044111
EFNA4	EPHA7	ephrin A4	EPH receptor A7	ENSBTAG00000010673	ENSBTAG00000021420
EFNA4	EPHA8	ephrin A4	EPH receptor A8	ENSBTAG00000010673	ENSBTAG00000020102
EFNA5	EPHA1	ephrin A5	EPH receptor A1	ENSBTAG00000016515	ENSBTAG00000006359
EFNA5	EPHA10	ephrin A5	EPH receptor A10	ENSBTAG00000016515	ENSBTAG00000020510
EFNA5	EPHA2	ephrin A5	EPH receptor A2	ENSBTAG00000016515	ENSBTAG00000000815
EFNA5	EPHA3	ephrin A5	EPH receptor A3	ENSBTAG00000016515	ENSBTAG00000006811
EFNA5	EPHA4	ephrin A5	EPH receptor A4	ENSBTAG00000016515	ENSBTAG00000010030
EFNA5	EPHA5	ephrin A5	EPH receptor A5	ENSBTAG00000016515	ENSBTAG00000009438
EFNA5	EPHA6	ephrin A5	EPH receptor A6	ENSBTAG00000016515	ENSBTAG00000044111
EFNA5	EPHA7	ephrin A5	EPH receptor A7	ENSBTAG00000016515	ENSBTAG00000021420
EFNA5	EPHA8	ephrin A5	EPH receptor A8	ENSBTAG00000016515	ENSBTAG00000020102
EFNA5	EPHB1	ephrin A5	EPH receptor B1	ENSBTAG00000016515	ENSBTAG00000015377
EFNA5	EPHB2	ephrin A5	EPH receptor B2	ENSBTAG00000016515	ENSBTAG00000045902
EFNA5	EPHB6	ephrin A5	EPH receptor B6	ENSBTAG00000016515	ENSBTAG00000015510
EFNB1	EPHA6	ephrin B1	EPH receptor A6	ENSBTAG00000015801	ENSBTAG00000044111
EFNB1	EPHB1	ephrin B1	EPH receptor B1	ENSBTAG00000015801	ENSBTAG00000015377
EFNB1	EPHB2	ephrin B1	EPH receptor B2	ENSBTAG00000015801	ENSBTAG00000045902
EFNB1	EPHB3	ephrin B1	EPH receptor B3	ENSBTAG00000015801	ENSBTAG00000005313
EFNB1	EPHB4	ephrin B1	EPH receptor B4	ENSBTAG00000015801	ENSBTAG00000003446
EFNB1	EPHB6	ephrin B1	EPH receptor B6	ENSBTAG00000015801	ENSBTAG00000015510
EFNB1	ERBB2	ephrin B1	erb-b2 receptor tyrosine kinase 2	ENSBTAG00000015801	ENSBTAG00000021798
EFNB2	EPHA3	ephrin B2	EPH receptor A3	ENSBTAG00000016991	ENSBTAG00000006811
EFNB2	EPHA4	ephrin B2	EPH receptor A4	ENSBTAG00000016991	ENSBTAG00000010030
EFNB2	EPHA6	ephrin B2	EPH receptor A6	ENSBTAG00000016991	ENSBTAG00000044111
EFNB2	EPHB1	ephrin B2	EPH receptor B1	ENSBTAG00000016991	ENSBTAG00000015377
EFNB2	EPHB2	ephrin B2	EPH receptor B2	ENSBTAG00000016991	ENSBTAG00000045902
EFNB2	EPHB3	ephrin B2	EPH receptor B3	ENSBTAG00000016991	ENSBTAG00000005313
EFNB2	EPHB4	ephrin B2	EPH receptor B4	ENSBTAG00000016991	ENSBTAG00000003446
EFNB2	EPHB6	ephrin B2	EPH receptor B6	ENSBTAG00000016991	ENSBTAG00000015510
EFNB2	GRM1	ephrin B2	glutamate metabotropic receptor 1	ENSBTAG00000016991	ENSBTAG00000044181
EFNB2	GRM5	ephrin B2	glutamate metabotropic receptor 5	ENSBTAG00000016991	ENSBTAG00000048061
EFNB2	PECAM1	ephrin B2	platelet and endothelial cell adhesion molecule 1	ENSBTAG00000016991	ENSBTAG00000012066
EFNB2	RHBDL2	ephrin B2	rhomboid like 2	ENSBTAG00000016991	ENSBTAG00000008023
EFNB3	EPHA4	ephrin B3	EPH receptor A4	ENSBTAG00000052025	ENSBTAG00000010030
EFNB3	EPHB1	ephrin B3	EPH receptor B1	ENSBTAG00000052025	ENSBTAG00000015377
EFNB3	EPHB2	ephrin B3	EPH receptor B2	ENSBTAG00000052025	ENSBTAG00000045902
EFNB3	EPHB3	ephrin B3	EPH receptor B3	ENSBTAG00000052025	ENSBTAG00000005313
EFNB3	EPHB4	ephrin B3	EPH receptor B4	ENSBTAG00000052025	ENSBTAG00000003446
EFNB3	EPHB6	ephrin B3	EPH receptor B6	ENSBTAG00000052025	ENSBTAG00000015510
EFNB3	RHBDL2	ephrin B3	rhomboid like 2	ENSBTAG00000052025	ENSBTAG00000008023
EGFL8	NCR3	EGF like domain multiple 8	natural cytotoxicity triggering receptor 3	ENSBTAG00000025410	ENSBTAG00000018343
EPGN	EGFR	epithelial mitogen	epidermal growth factor receptor	ENSBTAG00000004052	ENSBTAG00000011628
EPO	EPOR	erythropoietin	erythropoietin receptor	ENSBTAG00000003430	ENSBTAG00000008197
EREG	EGFR	epiregulin	epidermal growth factor receptor	ENSBTAG00000010273	ENSBTAG00000011628
EREG	ERBB2	epiregulin	erb-b2 receptor tyrosine kinase 2	ENSBTAG00000010273	ENSBTAG00000021798
EREG	ERBB3	epiregulin	erb-b2 receptor tyrosine kinase 3	ENSBTAG00000010273	ENSBTAG00000010444
EREG	ERBB4	epiregulin	erb-b2 receptor tyrosine kinase 4	ENSBTAG00000010273	ENSBTAG00000012647
F10	F3	coagulation factor X	"coagulation factor III, tissue factor"	ENSBTAG00000007411	ENSBTAG00000007101
F10	ITGAM	coagulation factor X	integrin subunit alpha M	ENSBTAG00000007411	ENSBTAG00000047238
F10	ITGB2	coagulation factor X	integrin subunit beta 2	ENSBTAG00000007411	ENSBTAG00000017060
F11	GP1BA	coagulation factor XI	glycoprotein Ib platelet subunit alpha	ENSBTAG00000003572	ENSBTAG00000004909
F12	CD93	coagulation factor XII	CD93 molecule	ENSBTAG00000018872	ENSBTAG00000004207
F12	GP1BA	coagulation factor XII	glycoprotein Ib platelet subunit alpha	ENSBTAG00000018872	ENSBTAG00000004909
F13A1	ITGA4	coagulation factor XIII A chain	integrin subunit alpha 4	ENSBTAG00000007268	ENSBTAG00000009256
F13A1	ITGA9	coagulation factor XIII A chain	integrin subunit alpha 9	ENSBTAG00000007268	ENSBTAG00000016566
F13A1	ITGB1	coagulation factor XIII A chain	integrin subunit beta 1	ENSBTAG00000007268	ENSBTAG00000015910
F2	F2R	"coagulation factor II, thrombin"	coagulation factor II thrombin receptor	ENSBTAG00000007148	ENSBTAG00000020199
F2	F2RL1	"coagulation factor II, thrombin"	F2R like trypsin receptor 1	ENSBTAG00000007148	ENSBTAG00000034848
