	Zo_NP_1	Zo_NP_3	Zo_NP_4	Zo_NP_5	Zo_NP_6	Zo_NP_8	Zo_NP_9	Zo_NP_10	Zo_NP_11	Zo_NP_12	Zo_NP_13	Zo_NP_14	Zo_NP_15	SW_NP_1	SW_NP_3	SW_NP_5	Zo_PR_1	Zo_PR_2	Zo_PR_3	Zo_PR_4	SW_PR_1	SW_PR_2	SW_PR_3	SW_PR_4	SW_PR_5	SW_PR_6	SW_PR_7
ENSBTAG00000000065	6.447450397	4.256003028	6.031876601	6.073615833	6.356239525	5.980123886	5.996497869	6.376262961	5.645801831	5.94562018	6.826097906	6.456967465	5.879348318	6.181948915	6.044666499	6.175195269	6.206170699	5.921083121	6.073030676	6.234690095	5.893185285	5.841085904	6.173959022	6.327358368	6.407143371	6.106307613	5.623708231
ENSBTAG00000000066	4.847851306	4.615310463	4.508274791	4.465121682	4.475928155	4.39686716	4.609109699	4.64365285	4.376307644	4.556488645	4.576045236	4.630129392	4.64386566	4.666510395	5.410709413	4.722888816	5.374879949	5.49511942	5.554475644	4.80237799	5.378377153	4.898632259	4.542889143	4.835080339	4.864710667	4.646762618	4.590882977
ENSBTAG00000000067	5.8208026	6.451840493	6.128585978	6.581792939	6.059585964	6.011382781	5.609343823	5.395095367	6.337557808	6.105422082	5.614742861	6.218660313	5.769529224	5.334495807	5.67911849	6.027725305	5.253767787	5.011789852	5.51594174	5.245477287	5.717382694	4.687789285	5.785264624	5.671347322	5.983227557	6.094580235	6.015301825
ENSBTAG00000000070	5.682429131	4.743029923	4.646314736	5.635134497	4.885014332	4.545649141	5.716877059	4.768639508	4.527071994	5.651730971	5.616373459	5.45371629	5.24058668	5.846603116	5.3162322	5.764236136	5.530936866	4.83007084	5.717659589	6.023109874	5.315409801	4.575733659	5.039166714	5.73768616	4.842634748	5.049654247	5.296047738
ENSBTAG00000000071	5.477092448	4.430573338	4.610060176	5.045603248	4.75090023	5.14270011	4.424919054	4.752902921	4.212634123	4.841542777	5.173386506	5.147779832	5.393356784	5.352339963	5.181332344	4.98987749	5.570893682	5.699309497	5.067152711	6.198516359	4.666062242	5.144315877	5.226593381	5.084394832	4.844895206	5.402643055	5.631389245
ENSBTAG00000000072	6.186498612	6.102349295	5.983424794	6.214172832	6.363357422	6.747157423	6.032198766	6.541606177	6.779564136	5.504456598	6.879833219	6.942901539	6.299399312	6.982878715	6.258095178	6.110109223	6.371578409	6.668847417	6.585618394	6.031266107	6.513381518	6.764137794	6.444074301	6.683366948	6.56063566	6.301129289	6.305057616
ENSBTAG00000000073	9.854534085	9.830566677	9.418993315	9.919099524	9.794862847	9.856513317	9.163648578	9.190016687	10.20334751	9.402814079	9.47109512	9.49467621	9.506851527	9.365995371	9.785681349	9.591025559	8.888942159	8.896481857	9.811286957	8.561885181	9.89841383	8.991034997	10.0231845	9.653784043	10.43661244	10.5405277	9.02688651
ENSBTAG00000000074	4.792125013	5.434335175	5.062260292	5.01270145	4.456523978	5.106758429	5.427275244	5.306146859	4.366632434	5.489748919	5.513936854	5.191957827	4.608060661	4.999579489	5.562144174	5.383383226	4.679296568	5.921013839	5.680576972	5.661471301	5.399586866	5.603438266	4.490297828	5.329956465	5.027593837	5.138179718	5.089561693
ENSBTAG00000000076	5.152861309	5.318383444	5.657076431	5.383414626	6.330287016	5.490523869	5.004792822	6.06248305	5.640634986	5.075252039	4.794997587	5.025957578	5.264785154	4.828977628	5.592738014	5.363345731	5.30871379	5.401959345	4.98890256	5.407563408	5.671929778	5.307894064	5.183851366	5.091174788	5.206024163	5.435543931	5.793035598
ENSBTAG00000000077	8.208731234	7.788649936	7.986908202	8.475554126	7.721021498	8.152425845	7.634475342	7.366825907	8.15960708	8.184939142	7.418711803	7.620746319	7.200211491	7.17169876	7.694388786	7.847568972	7.037562607	6.88807136	7.525305269	6.500066378	8.141040633	6.604168325	7.809882388	7.821604646	8.708062686	8.031805539	7.108317948
